Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,num_academia,num_company
299,Forecasting Avian Migration Patterns using a Deep Bidirectional RNN Augmented with an Auxiliary Task,University College London,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
300,Multi-View Joint Graph Representation Learning for Urban Region Embedding,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,University of Helsinki,Tsinghua University,Hong Kong University of Science and Technology,University of Helsinki,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
301,Learning Interpretable Models in the Property Specification Language,Max Planck Institute for Software Systems,Ben-Gurion University of the Negev,Max Planck Institute for Software Systems,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
302,Fairness-Aware Neural Rényi Minimization for Continuous Features,Sorbonne University,AXA (France),Sorbonne University,AXA (France),Polish Academy of Sciences,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0
303,A Survey on Temporal Reasoning for Temporal Information Extraction from Text (Extended Abstract) *,University Medical Center Utrecht,KU Leuven,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
304,Ontology Reasoning with Deep Neural Networks (Extended Abstract) *,University of Oxford," Serein AI, London, U",University of Oxford," Serein AI, London, U",,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
305,Exploring Bilingual Parallel Corpora for Syntactically Controllable Paraphrase Generation,Beijing Jiaotong University,Beijing Jiaotong University,Tianjin University,Beijing Jiaotong University," Lenovo Research AI Lab, Beijing, Chin"," Lenovo Research AI Lab, Beijing, Chin",Beijing Jiaotong University,Beijing Jiaotong University,Lenovo Research AI Lab,,,,,,,,,,,,,,,,,,,6.0,0.0
306,Hype-HAN: Hyperbolic Hierarchical Attention Network for Semantic Embedding,University of Sydney,University of Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
307,Mucko: Multi-Layer Cross-Modal Knowledge Reasoning for Fact-based Visual Question Answering,Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering,University of Chinese Academy of Sciences,Microsoft Research Asia (China),Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering,University of Chinese Academy of Sciences,University of Adelaide,,,,,,,,,,,,,,,,,,9.0,1.0
308,Cross-denoising Network against Corrupted Labels in Medical Image Segmentation with Domain Shift,Zhejiang University," Tencent Jarvis Lab, Shenzhen, Chin"," Tencent Jarvis Lab, Shenzhen, Chin",Zhejiang University," Tencent Jarvis Lab, Shenzhen, Chin",,,,,,,,,,,,,,,,,,,,,,,2.0,3.0
309,Xeggora: Exploiting Immune-to-Evidence Symmetries with Full Aggregation in Statistical Relational Models (Extended Abstract)*,Amirkabir University of Technology,Amirkabir University of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
310,Reasoning About Inconsistent Formulas,Université de Toulouse,University of Oviedo,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
311,Bayesian Decision Process for Budget-efficient Crowdsourced Clustering,Shanghai Jiao Tong University,New York University,University of Iowa,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
312,Handling Black Swan Events in Deep Learning with Diversely Extrapolated Neural Networks,McGill University,Université Laval, Université de Louvai,McGill University,University of Milan,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
313,pbSGD: Powered Stochastic Gradient Descent Methods for Accelerated Nonconvex Optimization,Huazhong University of Science and Technology,University of Waterloo,Huazhong University of Science and Technology,Huazhong University of Science and Technology,"University of California, Berkeley",Huazhong University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
314,Trajectory Similarity Learning with Auxiliary Supervision and Optimal Matching,Fudan University,Fudan University, Shanghai Institute of Intelligent Electronics & System,Fudan University,Fudan University, Shanghai Institute of Intelligent Electronics & System,Fudan University,Fudan University, Shanghai Institute of Intelligent Electronics & System,Singapore Management University,Fudan University,Fudan University, Shanghai Institute of Intelligent Electronics & System,,,,,,,,,,,,,,,6.0,1.0
315,F-HMTC: Detecting Financial Events for Investment Decisions Based on Neural Hierarchical Multi-Label Text Classification," Shanghai Engineering Research Center on Big Data Management System, Shanghai, Chin",East China Normal University,University of Music and Theatre Leipzig,Shanghai Jiao Tong University," SeekData Inc., Shanghai, Chin"," SeekData Inc., Shanghai, Chin"," Shanghai Engineering Research Center on Big Data Management System, Shanghai, Chin",East China Normal University,University of Music and Theatre Leipzig," Shanghai Engineering Research Center on Big Data Management System, Shanghai, Chin",East China Normal University,University of Music and Theatre Leipzig," Shanghai Engineering Research Center on Big Data Management System, Shanghai, Chin",East China Normal University,University of Music and Theatre Leipzig,,,,,,,,,,,,,4.0,2.0
316,Keeping Your Friends Close: Land Allocation with Friends,University of Oxford,National University of Singapore,National University of Singapore,National University of Singapore,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
317,A Multi-Objective Approach to Mitigate Negative Side Effects,University of Massachusetts Amherst,Microsoft (United States),University of Massachusetts Amherst,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
