Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,inst28,inst29,inst30,inst31,inst32,inst33,inst34,num_academia,num_company
0,A Soft Version of Predicate Invention Based on Structured Sparsity,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
1,Constrained Information-Theoretic Tripartite Graph Clustering to Identify Semantically Similar Relations,Peking University,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,Rensselaer Polytechnic Institute,Peking University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
2,Medical Synonym Extraction with Concept Space Models,"Research Lab 1101 Kitchawan Rd Yorktown Heights, New York 1059","Research Lab 1101 Kitchawan Rd Yorktown Heights, New York 1059","Research Lab 1101 Kitchawan Rd Yorktown Heights, New York 1059","Research Lab 1101 Kitchawan Rd Yorktown Heights, New York 1059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
3,Discriminative Reordering Model Adaptation via Structural Learning,Xiamen University,Soochow University,Xiamen University,Soochow University,Xiamen University,Soochow University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
4,Web Page Classification Based on Uncorrelated Semi-Supervised Intra-View and Inter-View Manifold Discriminant Feature Extraction,Wuhan University,Nanjing University of Posts and Telecommunications,Wuhan University,Nanjing University of Posts and Telecommunications,Wuhan University,Nanjing University of Posts and Telecommunications,Wuhan University,Wuhan University,Nanjing University of Posts and Telecommunications,Nanjing University of Aeronautics and Astronautics,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0
5,Influence Maximization in Big Networks: An Incremental Algorithm for Streaming Subgraph Influence Spread Estimation,Chinese Academy of Sciences,University of Technology Sydney,Institute of Information Engineering,Institute of Information Engineering,Institute of Information Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
6,Prime Compilation of Non-Clausal Formulae,University College Dublin,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,University College Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
7,Did You Know? -Mining Interesting Trivia for Entities from Wikipedia,Indian Institute of Technology Roorkee,Microsoft (India),Indian Institute of Technology Roorkee,Microsoft (India),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
8,Belief Revision and Progression of Knowledge Bases in the Epistemic Situation Calculus,RWTH Aachen University,RWTH Aachen University,UNSW Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
9,Solving QBF by Clause Selection *,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,University College Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
10,Multi-Armed Bandits for Adaptive Constraint Propagation *,Antes,French National Centre for Scientific Research,French National Centre for Scientific Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
11,Bidirectional Constraints for Exchanging Data: Beyond Monotone Queries,Dept. of Computer Science PUC Chil,Dept. of Computer Science PUC Chil,Dept. of Computer Science Universidad de Chil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
12,On the Entailment Problem for a Logic of Typicality,Mahasarakham University,University of Pretoria,City of Cape Town,Federal University of Rio de Janeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
13,Deep Linear Coding for Fast Graph Clustering *,Northeastern University,Northeastern University,Northeastern University,Northeastern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
14,Using A* for Inference in Probabilistic Classifier Chains *,University of Oviedo,Technological University of Choco,University of Oviedo,University of Oviedo,University of Oviedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
15,Modeling Multi-Attribute Demand for Sustainable Cloud Computing With Copulae,Boston University,Boston University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
16,Computing Possibly Optimal Solutions for Multi-Objective Constraint Optimisation with Tradeoffs,University College Cork,University College Cork,IBM Research - Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
17,Biclustering Gene Expressions Using Factor Graphs and the Max-Sum Algorithm,University of Verona,University of Verona,University of Verona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
18,On the Computational Complexity of Naive-based Semantics for Abstract Dialectical Frameworks,TU Dresden,TU Dresden,Leipzig University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
19,Efficient Paraconsistent Reasoning with Ontologies and Rules *,Nova Southeastern University,Universidade Nova de Lisboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
20,Mechanism Design and Implementation for Lung Exchange *,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
21,Quantifying Robustness of Trust Systems against Collusive Unfair Rating Attacks Using Information Theory,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
22,Anytime Inference in Probabilistic Logic Programs with T P -Compilation,"Department of Computer Science KU Leuven, Belgiu","Department of Computer Science KU Leuven, Belgiu","Department of Computer Science KU Leuven, Belgiu","Department of Computer Science KU Leuven, Belgiu","Department of Computer Science KU Leuven, Belgiu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
23,Tractable Classes of Binary CSPs Defined by Excluded Topological Minors *,Royal Victoria Hospital,University College London,Université de Toulouse,University of Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
24,Copula Graphical Models for Wind Resource Estimation,"CSAIL, MIT Cambridge, M",King Juan Carlos University,"CSAIL, MIT Cambridge, M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
25,Online Fair Division: Analysing a Food Bank Problem,Data61,Data61,Data61,Data61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
26,A Common-Sense Conceptual Categorization System Integrating Heterogeneous Proxytypes and the Dual Process of Reasoning, Dipartimento di Informatica -Università di Torino -Ital," ICAR-CNR, Palermo -Ital", Dipartimento di Informatica -Università di Torino -Ital," ICAR-CNR, Palermo -Ital", Dipartimento di Informatica -Università di Torino -Ital," ICAR-CNR, Palermo -Ital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
27,EigenGP: Gaussian Process Models with Adaptive Eigenfunctions,Purdue University West Lafayette,Purdue University West Lafayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
28,Coherence Across Components in Cognitive Systems -One Ontology to Rule Them All,University of Ulm,"A.P. Ershov Institute of Informatics Systems, Siberian Branch of the Russian Academy of Sciences",University of Ulm,"A.P. Ershov Institute of Informatics Systems, Siberian Branch of the Russian Academy of Sciences",University of Ulm,"A.P. Ershov Institute of Informatics Systems, Siberian Branch of the Russian Academy of Sciences",National Environmental Engineering Research Institute,University of Ulm,"A.P. Ershov Institute of Informatics Systems, Siberian Branch of the Russian Academy of Sciences",University of Ulm,"A.P. Ershov Institute of Informatics Systems, Siberian Branch of the Russian Academy of Sciences",,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0
29,Exploiting Symmetries by Planning for a Descriptive Quotient,Australian National University,Australian National University,Australian National University,Griffith University,Australian National University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
30,Reasoning with Probabilistic Ontologies *,University of Ferrara,University of Ferrara,University of Ferrara,University of Ferrara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
31,Trust-Guided Behavior Adaptation Using Case-Based Reasoning *,Knexus Research (United States),Knexus Research (United States),United States Naval Research Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0
32,Ranked Voting on Social Networks *,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
33,A Scalable Interdependent Multi-Issue Negotiation Protocol for Energy Exchange,University of Southampton,University of Southampton,University of Southampton,University of Southampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
34,Trailer Generation via a Point Process-Based Visual Attractiveness Model,Georgia Institute of Technology,Georgia Institute of Technology,Georgia Institute of Technology,Georgia Institute of Technology,East China Normal University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
35,Modeling Inter-and Intra-Part Deformations for Object Structure Parsing,Xiamen University,Xiamen University,IBM Research - Thomas J. Watson Research Center,Stevens Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
36,Multi-View Self-Paced Learning for Clustering,Peking University,University of Technology Sydney,Peking University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
37,Only Knowing Meets Common Knowledge,KU Leuven,RWTH Aachen University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
38,Combining Existential Rules and Transitivity: Next Steps,French National Centre for Scientific Research,University of Montpellier,French National Centre for Scientific Research,University of Paris-Sud,University of Montpellier,French National Centre for Scientific Research,University of Montpellier,French National Centre for Scientific Research,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0
39,How to Select One Preferred Assertional-Based Repair from Inconsistent and Prioritized DL-Lite Knowledge Bases?,University of Lille Nord de France,"UArtois, CRIL -CNRS UMR 8188, F-62300 Lens, Franc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
40,Improving the Effectiveness of SAT-Based Preprocessing for MaxSAT,Helsinki Institute for Information Technology,Helsinki Institute for Information Technology,Helsinki Institute for Information Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
41,Multi-Pass High-Level Presolving,Monash University,Data61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
42,How to Define Certain Answers *,University of Edinburgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
43,MERGEXPLAIN: Fast Computation of Multiple Conflicts for Diagnosis,University of Klagenfurt,TU Dortmund University,TU Dortmund University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
44,Combining Rewriting and Incremental Materialisation Maintenance for Datalog Programs with Equality,University of Oxford,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
45,Structure in Dichotomous Preferences,University of Oxford,University of Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
46,Personalized Ranking Metric Embedding for Next New POI Recommendation,Nanyang Technological University,Nanyang Technological University,Teesside University,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
47,The Complexity of Model Checking Succinct Multiagent Systems,Jinan University,UNSW Sydney,Jinan University,Jinan University,Griffith University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
48,Information Gathering in Networks via Active Exploration,ETH Zurich,Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),ETH Zurich,Microsoft Research (India),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0
49,Portable Option Discovery for Automated Learning Transfer in Object-Oriented Markov Decision Processes,"University of Maryland, Baltimore","University of Maryland, Baltimore","University of Maryland, Baltimore","University of Maryland, Baltimore","University of Maryland, Baltimore","University of Maryland, Baltimore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
50,Perception Evolution Network: Adapting to the Emergence of New Sensory Receptor *,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
51,Optimal Auctions for Partially Rational Bidders *,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
52,Computer Science on the Move: Inferring Migration Regularities from the Web via Compressed Label Propagation,TU Dortmund University,TU Dortmund University,Fraunhofer Institute for Intelligent Analysis and Information Systems,TU Dortmund University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
53,Efficient Model Based Diagnosis with Maximum Satisfiability *,Institute of Information Science and Technologies,"University of California, Davis",Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
54,Schema.org as a Description Logic,University of Liverpool,University of Bremen,University of Liverpool,University of Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
55,Group Decision Making via Weighted Propositional Logic: Complexity and Islands of Tractability,University of Calabria,Paris Dauphine University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
56,Automatic Generation of Raven's Progressive Matrices,"University of California, Davis","University of California, Davis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
57,On the Graded Acceptability of Arguments,Computer Science Department,King's College Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
58,On the Runtime of Randomized Local Search and Simple Evolutionary Algorithms for Dynamic Makespan Scheduling,University of Adelaide,Technical University of Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
59,Extended Discriminative Random Walk: A Hypergraph Approach to Multi-View Multi-Relational Transductive Learning,Indian Institute of Technology Madras,Indian Institute of Technology Madras,Indian Institute of Technology Madras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
60,When Security Games Go Green: Designing Defender Strategies to Prevent Poaching and Illegal Fishing,University of Southern California,The University of Texas at Austin,University of Southern California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
61,Approximately Stable Pricing for Coordinated Purchasing of Electricity,Computer Science Department,Computer Science Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
62,Query Rewriting for Existential Rules with Compiled Preorder,University of Montpellier,French National Centre for Scientific Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
63,A Multicore Tool for Constraint Solving,University of Bologna,University of Bologna,University of Bologna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
64,Co-Acquisition of Syntax and Semantics -An Investigation in Spatial Language,Sony Computer Science Laboratories,Institute of Evolutionary Biology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
65,Knowledge Base Completion Using Embeddings and Rules,Institute of Information Engineering,Institute of Information Engineering,Institute of Information Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
66,Video Covariance Matrix Logarithm for Human Action Recognition in Videos,"INRIA Sophia Antipolis, STARS team 2004 Route des Lucioles, BP93, 06902 Sophia Antipolis, Franc","INRIA Sophia Antipolis, STARS team 2004 Route des Lucioles, BP93, 06902 Sophia Antipolis, Franc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
67,Semantic Concept Discovery for Large-Scale Zero-Shot Event Detection,University of Technology,Carnegie Mellon University,University of Technology,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
68,Feature Ensemble Plus Sample Selection: Domain Adaptation for Sentiment Classification (Extended Abstract) *,Nanjing University of Science and Technology,Nanjing University,Chinese Academy of Sciences,Nanjing University of Science and Technology,Nanyang Technological University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
69,Membership Constraints in Formal Concept Analysis,TU Dresden,Babeș-Bolyai University,Babeș-Bolyai University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
70,Tight Bounds for HTN planning with Task Insertion,United States Naval Research Laboratory,University of Ulm,United States Naval Research Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
71,Learning Term Embeddings for Hypernymy Identification,East China Normal University," Google Research, USA",East China Normal University,UNSW Sydney," Google Research, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
72,Combining Preference Elicitation and Search in Multiobjective State-Space Graphs,Sorbonne University,French National Centre for Scientific Research," Place Jussieu, 75005 Paris, Franc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
73,The Complexity of Subsumption in Fuzzy EL,TU Dresden,"Palacký University, Olomouc",Free University of Bozen-Bolzano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
74,Selling Reserved Instances in Cloud Computing,Beijing University of Technology,Microsoft Research Asia (China),Microsoft Research Asia (China),Chinese Academy of Sciences,Chinese Academy of Sciences,Microsoft Research Asia (China),,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0
75,Toward Estimating Others' Transition Models Under Occlusion for Multi-Robot IRL,University of Georgia,University of Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
76,Intelligent Agent Supporting Human-Multi-Robot Team Collaboration *,Bar-Ilan University,Bar-Ilan University,Bar-Ilan University,Carnegie Mellon University,Bar-Ilan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
77,Automatic Verification of Partial Correctness of Golog Programs,Sun Yat-sen University,Sun Yat-sen University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
78,Multiple Instance Learning-Based Birdsong Classification Using Unsupervised Recording Segmentation,Universidad Nacional de Colombia,Universidad Nacional de Colombia,Universidad Nacional de Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
79,α-min: A Compact Approximate Solver For Finite-Horizon POMDPs,Oregon State University,Oregon State University,Oregon State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
80,Temporal Query Answering in the Description Logic EL,TU Dresden,TU Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
81,Local Translation Prediction with Global Sentence Representation,Institute of Automation,Institute of Automation,Institute of Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
82,On the Boundary of (Un)decidability: Decidable Model-Checking for a Fragment of Resource Agent Logic *,University of Nottingham,Delft University of Technology,University of Nottingham,University of Nottingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
83,ReACTR: Realtime Algorithm Configuration through Tournament Rankings,University College Cork,IBM Research - Thomas J. Watson Research Center,University College Cork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
84,Max Is More than Min: Solving Maximization Problems with Heuristic Search,Ben-Gurion University of the Negev,Dept. of Computer Science University of New Hampshir,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Dept. of Computer Science University of New Hampshir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
85,Inapproximability of Treewidth and Related Problems (Extended Abstract) *,University of Toronto,Meta (United States),Royal Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
86,Execution Monitoring as Meta-Games for General Game-Playing Robots,UNSW Sydney,UNSW Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
87,Raising Expectations in GDA Agents Acting in Dynamic Environments,Lehigh University,Lehigh University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
88,Groupwise Registration of Aerial Images, Centre for Pattern Recognition & Data Analytic,Deakin University,Curtin University, Centre for Pattern Recognition & Data Analytic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
89,Thompson Sampling for Budgeted Multi-armed Bandits,University of Science and Technology of China,University of Chinese Academy of Sciences,Microsoft Research Asia (China),University of Science and Technology of China,Microsoft Research Asia (China),Microsoft Research (India),,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0
90,Online Learning of k-CNF Boolean Functions,Australian National University,Australian National University,Australian National University,Australian National University,Australian National University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
91,Portfolio Choices with Orthogonal Bandit Learning,GE Global Research (United States),Alibaba Group (United States),Fudan University,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
92,Verifying Emergent Properties of Swarms,Imperial College London,Imperial College London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
93,Uncovering the Formation of Triadic Closure in Social Networks,Tsinghua University,Jiangsu Normal University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
94,"Efficient, Private, and -Strategyproof Elicitation of Tournament Voting Rules",Stanford University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
95,Near-Optimal Approximation Mechanisms for Multi-Unit Combinatorial Auctions * †,Orestis Teleli,University of Liverpool,University of Piraeus,Teesside University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
96,Ontology-Mediated Queries with Closed Predicates,University of Bremen,University of Bremen,University of Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
97,Efficiently Characterizing Non-Redundant Constraints in Large Real World Qualitative Spatial Networks,Artois University,University of Technology Sydney,Artois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
98,Scalable Maintenance of Knowledge Discovery in an Ontology Stream,IBM Research - Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
99,Filtering Nogoods Lazily in Dynamic Symmetry Breaking During Search,Chinese University of Hong Kong,Chinese University of Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
100,Maximum Satisfiability Using Cores and Correction Sets,Microsoft (United States),Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
101,Multi-Agent Only Knowing on Planet Kripke,University of Rennes,Inria Rennes - Bretagne Atlantique Research Centre,"Dept. of Computer Science KU Leuven Leuven, Belgiu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
102,ALLEGRO: Belief-Based Programming in Stochastic Dynamical Domains,KU Leuven,University of Toronto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
103,Data Compression for Learning MRF Parameters,California State University Los Angeles,California State University Los Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
104,Weakly Supervised Matrix Factorization for Noisily Tagged Image Parsing,Renmin University of China,Renmin University of China,IBM Research - China,Renmin University of China,Renmin University of China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
105,Formal Analysis of Dialogues on Infinite Argumentation Frameworks,University of Évry Val d'Essonne,University of Liverpool,Sorbonne University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
106,From Raw Sensor Data to Detailed Spatial Knowledge,Australian National University,Australian National University,Australian National University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
107,Beyond SPARQL under OWL 2 QL Entailment Regime: Rules to the Rescue,University of Oxford,University of Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
108,Modelling the Persuadee in Asymmetric Argumentation Dialogues for Persuasion,University College London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
109,"Parliamentary Voting Procedures: Agenda Control, Manipulation, and Uncertainty *",Technical University of Berlin,Technical University of Berlin,Technical University of Berlin,Data61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
110,An Expert-Level Card Playing Agent Based on a Variant of Perfect Information Monte Carlo Sampling,University of Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
111,An Exact Inference Scheme for MinSAT *,University of Picardie Jules Verne,Spanish National Research Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
112,Graph Invariant Kernels,KU Leuven,University of Florence,University of Florence,KU Leuven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
113,A Personalised Thermal Comfort Model using a Bayesian Network,"Agents, Interaction and Complexity Research Group Electronics and Computer Science University of Southampton, U","Agents, Interaction and Complexity Research Group Electronics and Computer Science University of Southampton, U","Agents, Interaction and Complexity Research Group Electronics and Computer Science University of Southampton, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
114,Abstract Routing Models and Abstractions in the Context of Vehicle Routing,University of Lübeck,University of Lübeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
115,A Simple Probabilistic Extension of Modal Mu-Calculus,National University of Defense Technology,University of Technology Sydney,National University of Defense Technology,Institute of Software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
116,A Modularity-Based Random SAT Instances Generator *,Bell (Canada),Bell (Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
117,Saul: Towards Declarative Learning Based Programming,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
118,Ice-Breaking: Mitigating Cold-Start Recommendation Problem by Rating Comparison,AviChina Industry & Technology (China),AviChina Industry & Technology (China),Arizona State University,AviChina Industry & Technology (China),AviChina Industry & Technology (China),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
119,Pushdown Multi-Agent System Verification,University of Naples Federico II,University of Naples Federico II,University of Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
120,Cross-View Projective Dictionary Learning for Person Re-identification,Northeastern University,Northeastern University,Northeastern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
121,Face Clustering in Videos with Proportion Prior,Institute of Automation,Institute of Automation,Nanjing University of Science and Technology,Institute of Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
122,Lie on the Fly: Iterative Voting Center with Manipulative Voters *,Ariel University,Tel Aviv University," Mobileye Vision Technologies Ltd., Jerusalem, Israel",Ben-Gurion University of the Negev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
123,Adapting to User Preference Changes in Interactive Recommendation *,DePaul University,DePaul University,DePaul University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
124,Heuristics for Cost-Optimal Classical Planning Based on Linear Programming †,University of Basel,University of Basel,University of Basel,Simón Bolívar University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
125,Cost-Optimal and Net-Benefit Planning -A Parameterised Complexity View *,Linköping University,Linköping University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
126,Unsupervised Learning of an IS-A Taxonomy from a Limited Domain-Specific Corpus,KU Leuven,KU Leuven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
127,Policies that Generalize: Solving Many Planning Problems with the Same Policy,Simón Bolívar University,Institució Catalana de Recerca i Estudis Avançats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
