Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,num_academia,num_company
705,Explainable Text Classification via Attentive and Targeted Mixing Data Augmentation,Institute of Information Engineering,University of Chinese Academy of Sciences,National Computer Network Emergency Response Technical Team/Coordination Center of Chinar,Harbin Engineering University,Singapore Institute of Technology,Institute of Information Engineering,University of Chinese Academy of Sciences,Harbin Engineering University,Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering,University of Chinese Academy of Sciences,National Computer Network Emergency Response Technical Team/Coordination Center of Chinar,,,,,13.0,0.0
706,IRE 2 F: Rethinking Effective Refinement in Language Structure Prediction via Efficient Iterative Retrospecting and Reasoning, National Engineering Research Center for Multimedia Software,Wuhan University," Hubei Luojia Laboratory, Wuhan 430072, P. R. Chin", National Engineering Research Center for Multimedia Software,Wuhan University," Computer Science and Engineering, University of Californi", National Engineering Research Center for Multimedia Software,Wuhan University," Hubei Luojia Laboratory, Wuhan 430072, P. R. Chin",Shanghai Jiao Tong University,,,,,,,,5.0,0.0
707,Learning When to Advise Human Decision Makers *,Harvard University,Hebrew University of Jerusalem,Harvard University,,,,,,,,,,,,,,,3.0,0.0
708,Hierarchical Semantic Contrast for Weakly Supervised Semantic Segmentation,Shanghai University,Shanghai University,Shanghai University,Shanghai University,Shanghai University,Shanghai University,,,,,,,,,,,,6.0,0.0
709,A Dual Semantic-Aware Recurrent Global-Adaptive Network for Vision-and-Language Navigation,Tongji University,Tongji University,Tongji University,Tongji University,Tongji University,Tongji University,Suzhou Research Institute,Tongji University,,,,,,,,,,8.0,0.0
710,Ordinal Hedonic Seat Arrangement under Restricted Preference Domains: Swap Stability and Popularity,University of Paris-Saclay,,,,,,,,,,,,,,,,,1.0,0.0
711,Sketch Recognition via Part-based Hierarchical Analogical Learning,Northwestern University,Northwestern University, Adobe Researc, Adobe Researc,Northwestern University,,,,,,,,,,,,,3.0,0.0
712,RuleMatch: Matching Abstract Rules for Semi-supervised Learning of Human Standard Intelligence Tests,Shanghai Jiao Tong University,Sun Yat-sen University,University of Electronic Science and Technology of China,Beijing Normal University,Beijing Normal University,Sun Yat-sen University,Beijing Normal University,Shanghai Jiao Tong University,,,,,,,,,,8.0,0.0
713,Unsupervised Deep Subgraph Anomaly Detection (Extended Abstract) *,Emory University,Emory University,,,,,,,,,,,,,,,,2.0,0.0
714,Translating Images into Maps (Extended Abstract) *,University of Surrey,University of Surrey,Amazon (Germany),University of Surrey,,,,,,,,,,,,,,3.0,1.0
715,SQuAD-SRC: A Dataset for Multi-Accent Spoken Reading Comprehension,National University of Singapore,National University of Singapore,,,,,,,,,,,,,,,,2.0,0.0
716,Rubik's Optical Neural Networks: Multi-task Learning with Physics-aware Rotation Architecture,University of Utah,University of Utah,University of Utah,,,,,,,,,,,,,,,3.0,0.0
717,Adaptive Path-Memory Network for Temporal Knowledge Graph Reasoning,Computer Network Information Center,University of Chinese Academy of Sciences,Computer Network Information Center,University of Chinese Academy of Sciences,City University of Macau,Hong Kong University of Science and Technology,Computer Network Information Center,University of Chinese Academy of Sciences,Computer Network Information Center,University of Chinese Academy of Sciences,University of Central Florida,,,,,,,11.0,0.0
718,Solving Quantum-Inspired Perfect Matching Problems via Tutte-Theorem-Based Hybrid Boolean Constraints,Rice University,Rice University,,,,,,,,,,,,,,,,2.0,0.0
719,PathLAD+: An Improved Exact Algorithm for Subgraph Isomorphism Problem,Northeast Normal University,Northeast Normal University,Beijing Information Science & Technology University,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Microsoft Research (India),,,,,,,,,,,,5.0,1.0
