Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,num_academia,num_company
73,Stochastic Actor-Executor-Critic for Image-to-Image Translation,Chengdu University of Information Technology,Chengdu University of Information Technology," Keya Medical, Seattle, US","University at Buffalo, State University of New York"," Keya Medical, Seattle, US"," Keya Medical, Seattle, US"," Keya Medical, Seattle, US",Chengdu University of Information Technology,,,,,,,,,,,,,4.0,0.0
74,BESA: BERT-based Simulated Annealing for Adversarial Text Attacks,University of Technology Sydney," College of Control Science and Engineering, China University of Petroleu",University of Technology Sydney,Jingdong (China),"East China), Chin",,,,,,,,,,,,,,,,2.0,1.0
75,Differentially Private Pairwise Learning Revisited,University of Electronic Science and Technology of China,Harbin Institute of Technology,University of Virginia,King Abdullah University of Science and Technology,,,,,,,,,,,,,,,,,4.0,0.0
76,Almost Envy-Freeness for Groups: Improved Bounds via Discrepancy Theory," Google Research, US",National University of Singapore,,,,,,,,,,,,,,,,,,,1.0,0.0
77,Shortlisting Rules and Incentives in an End-to-End Model for Participatory Budgeting,Instituto de Pesquisas Tecnológicas,Instituto de Pesquisas Tecnológicas,Instituto de Pesquisas Tecnológicas,,,,,,,,,,,,,,,,,,3.0,0.0
78,Learning and Planning Under Uncertainty for Green Security,Harvard University,,,,,,,,,,,,,,,,,,,,1.0,0.0
79,Nash Welfare in the Facility Location Problem,UNSW Sydney,,,,,,,,,,,,,,,,,,,,1.0,0.0
80,A Description Logic for Analogical Reasoning,Cardiff University,Cardiff University,Cardiff University,,,,,,,,,,,,,,,,,,3.0,0.0
81,Deep Reinforcement Learning for Navigation in AAA Video Games,Ubisoft (France),Ubisoft (France),Ubisoft (France),Ubisoft (France),,,,,,,,,,,,,,,,,0.0,4.0
82,Interactive Video Acquisition and Learning System for Motor Assessment of Parkinson's Disease,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,5.0,0.0
