Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,num_academia,num_company
124,Matrix Co-Factorization on Compressed Sensing,Computer Science Department,Computer Science Department,Pohang University of Science and Technology,,,,,,,,,,1.0,0.0
125,A Flat Histogram Method for Computing the Density of States of Combinatorial Problems *,Cornell University,Cornell University,Cornell University,,,,,,,,,,3.0,0.0
126,Embedding System Dynamics in Agent Based Models for Complex Adaptive Systems,Cornell University,Cornell University,Cornell University,Pop Med & Diagnostic Sci Cornell Universit,Pop Med & Diagnostic Sci Cornell Universit,Cornell University,Cornell University,Pop Med & Diagnostic Sci Cornell Universit,,,,,8.0,0.0
127,Fixpoints in Temporal Description Logics,Free University of Bozen-Bolzano,University of Waterloo,University of Waterloo,,,,,,,,,,3.0,0.0
128,Expressiveness of the Interval Logics of Allen's Relations on the Class of all Linear Orders: Complete Classification *,University of Salerno,University of Udine,Technical University of Denmark,University of Udine,University of Murcia,University of Information Science and Technology St. Paul The Apostle,,,,,,,6.0,0.0
129,Visual Task Inference Using Hidden Markov Models,McGill University Health Centre,McGill University Health Centre,McGill University Health Centre,,,,,,,,,,3.0,0.0
130,Semantic Relationship Discovery with Wikipedia Structure,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,3.0,0.0
131,Joint Feature Selection and Subspace Learning,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,,,3.0,0.0
132,Assumption-Based Argumentation Dialogues,Imperial College London,Imperial College London,,,,,,,,,,,2.0,0.0
133,Model Checking Knowledge in Pursuit Evasion Games *,UNSW Sydney,UNSW Sydney,UNSW Sydney,UNSW Sydney,,,,,,,,,4.0,0.0
134,An On-Line Algorithm for Semantic Forgetting,University of Southampton,University of Southampton,University of Southampton,University of Southampton,University of Southampton,,,,,,,,5.0,0.0
135,Flexible Tree Matching,Stanford University,Stanford University,Stanford University,Stanford University,Stanford University,,,,,,,,5.0,0.0
136,Mining User Dwell Time for Personalized Web Search Re-Ranking,Oak Ridge National Laboratory,University of Hong Kong,,,,,,,,,,,2.0,0.0
137,Social Abstract Argumentation,Universidade Nova de Lisboa,Carnegie Mellon University,,,,,,,,,,,2.0,0.0
138,Parametric Properties of Ideal Semantics *,"Institute of Information Systems Vienna Univ. of Tech., Austri",University of Liverpool,"Institute of Information Systems Vienna Univ. of Tech., Austri",,,,,,,,,,1.0,0.0
139,Ensemble-Based Coreference Resolution,The University of Texas at Dallas,The University of Texas at Dallas,,,,,,,,,,,2.0,0.0
140,Predicting Globally-Coherent Temporal Structures from Texts via Endpoint Inference and Graph Decomposition,French Institute for Research in Computer Science and Automation,French Institute for Research in Computer Science and Automation,Université de Toulouse,,,,,,,,,,3.0,0.0
141,Short Text Classification Improved by Learning Multi-Granularity Topics,Tsinghua University,Tsinghua University," Buzzlabs, Bellevue WA, 9800",,,,,,,,,,2.0,0.0
142,A Hidden Markov Model Variant for Sequence Classification *,George Mason University,George Mason University,,,,,,,,,,,2.0,0.0
143,A Fast Dual Projected Newton Method for 1 -Regularized Least Squares,Tsinghua University,Tsinghua University,,,,,,,,,,,2.0,0.0
144,What to Ask to an Incomplete Semantic Web Reasoner?,University of Oxford,University of Oxford,,,,,,,,,,,2.0,0.0
