Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,num_academia,num_company
63,Psychological Forest: Predicting Human Behavior,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,,,,,,,,,,,,,,,,,,4.0,0.0
64,Nash Stability in Social Distance Games,Gran Sasso Science Institute,University of L'Aquila,University of L'Aquila,Gran Sasso Science Institute,,,,,,,,,,,,,,,,,,4.0,0.0
65,Bayesian Neural Word Embedding,Tel Aviv University,,,,,,,,,,,,,,,,,,,,,1.0,0.0
66,Incrementally Learning the Hierarchical Softmax Function for Neural Language Models,Beihang University,Beihang University,Hong Kong University of Science and Technology,Beihang University,,,,,,,,,,,,,,,,,,4.0,0.0
67,Universum Prescription: Regularization Using Unlabeled Data,Courant Institute of Mathematical Sciences,Courant Institute of Mathematical Sciences,,,,,,,,,,,,,,,,,,,,2.0,0.0
68,Sparse Boltzmann Machines with Structure Learning as Applied to Text Analysis,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,,,4.0,0.0
69,Multi-Robot Allocation of Tasks with Temporal and Ordering Constraints,University of Minnesota,,,,,,,,,,,,,,,,,,,,,1.0,0.0
70,Combining Logical Abduction and Statistical Induction: Discovering Written Primitives with Human Knowledge *,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,,2.0,0.0
71,Policy Reuse in Deep Reinforcement Learning *,Universidade de São Paulo,Universidade de São Paulo,Universidade de São Paulo,Universidade de São Paulo,Universidade de São Paulo,,,,,,,,,,,,,,,,,5.0,0.0
72,An Advising Framework for Multiagent Reinforcement Learning Systems,Universidade de São Paulo,Universidade de São Paulo,Universidade de São Paulo,,,,,,,,,,,,,,,,,,,3.0,0.0
73,Patch Reordering: A Novel Way to Achieve Rotation and Translation Invariance in Convolutional Neural Networks,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Technology Sydney,,,,,,,,,,,,,,,,,,4.0,0.0
74,Active Search for Sparse Signals with Region Sensing,Carnegie Mellon University,Washington University in St. Louis,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,3.0,0.0
75,Simultaneous Clustering and Ensemble,Northeastern University,Northeastern University,Northeastern University,Northeastern University,,,,,,,,,,,,,,,,,,4.0,0.0
76,Neural Programming by Example,Beihang University,University of Newcastle Australia,,,,,,,,,,,,,,,,,,,,2.0,0.0
