Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,num_academia,num_company
419,Modelling Familiarity for Intelligent Personalized Social Mobilization,Tsinghua University,Ministry of Education,Tsinghua University,,,,,,,,,,,,,,,,,,,3.0,0.0
420,Optimizing Positional Scoring Rules for Rank Aggregation,University of Patras,University of Patras,University of Patras,University of Patras,,,,,,,,,,,,,,,,,,4.0,0.0
421,The Positronic Economist: A Computational System for Analyzing Economic Mechanisms,University of British Columbia,University of British Columbia,University of British Columbia,,,,,,,,,,,,,,,,,,,3.0,0.0
422,Let Your Photos Talk: Generating Narrative Paragraph for Photo Stream via Bidirectional Attention Recurrent Neural Networks,"University at Buffalo, State University of New York",Microsoft Research Asia (China),Microsoft Research Asia (China),"University at Buffalo, State University of New York",,,,,,,,,,,,,,,,,,2.0,2.0
423,ProjE: Embedding Projection for Knowledge Graph Completion,University of Notre Dame,University of Notre Dame,,,,,,,,,,,,,,,,,,,,2.0,0.0
424,Solving High-Dimensional Multi-Objective Optimization Problems with Low Effective Dimensions *,Nanjing University,Southeast University,,,,,,,,,,,,,,,,,,,,2.0,0.0
425,An Analysis of Monte Carlo Tree Search,University of the Witwatersrand,Brown University,University of the Witwatersrand,Council for Scientific and Industrial Research,,,,,,,,,,,,,,,,,,4.0,0.0
426,When to Reset Your Keys: Optimal Timing of Security Updates via Learning,Tulane University,The Ohio State University,"University of California, Davis",,,,,,,,,,,,,,,,,,,3.0,0.0
427,Neural Machine Translation with Reconstruction,Huawei Technologies (Canada),Tsinghua University,Huawei Technologies (Canada),Huawei Technologies (Canada),Huawei Technologies (Canada),,,,,,,,,,,,,,,,,1.0,4.0
428,Self-Paced Learning: An Implicit Regularization Perspective,China Aerospace Science and Industry Corporation (China),University of Chinese Academy of Sciences,China Aerospace Science and Industry Corporation (China),Institute of Automation,Center for Excellence in Brain Science and Intelligence Technology,University of Chinese Academy of Sciences,China Aerospace Science and Industry Corporation (China),Institute of Automation,University of Chinese Academy of Sciences,China Aerospace Science and Industry Corporation (China),University of Chinese Academy of Sciences,,,,,,,,,,,7.0,0.0
429,The Computational Complexity of Weighted Greedy Matching,University of Liverpool,Durham University,University of Liverpool,,,,,,,,,,,,,,,,,,,3.0,0.0
430,Optimal Pricing for Submodular Valuations with Bounded Curvature,Shizuoka University,Tokyo Institute of Technology,National Institute of Informatics,The University of Tokyo,National Institute of Informatics,,,,,,,,,,,,,,,,,5.0,0.0
431,Rigging Nearly Acyclic Tournaments Is Fixed-Parameter Tractable,TU Wien,,,,,,,,,,,,,,,,,,,,,1.0,0.0
432,CoCoA: A Non-Iterative Approach to a Local Search (A)DCOP Solver,Netherlands Organisation for Applied Scientific Research,Netherlands Organisation for Applied Scientific Research,Delft University of Technology,,,,,,,,,,,,,,,,,,,3.0,0.0
433,Moral Decision Making Frameworks for Artificial Intelligence,Duke University,Duke University,Duke University,Duke University,Duke University,,,,,,,,,,,,,,,,,5.0,0.0
434,Riemannian Submanifold Tracking on Low-Rank Algebraic Variety,Chinese Academy of Sciences,Tsinghua University,,,,,,,,,,,,,,,,,,,,2.0,0.0
435,Sparse Deep Transfer Learning for Convolutional Neural Network,Shenzhen Institutes of Advanced Technology,Shenzhen Institutes of Advanced Technology,Shenzhen Institutes of Advanced Technology,University of Hong Kong,,,,,,,,,,,,,,,,,,4.0,0.0
436,An Ambiguity Aversion Model for Decision Making under Ambiguity,South China Normal University,Sun Yat-sen University,South China Normal University,,,,,,,,,,,,,,,,,,,3.0,0.0
437,Improving Multi-Document Summarization via Text Classification,Hong Kong Polytechnic University,Hong Kong Polytechnic University,Hong Kong Polytechnic University,Hong Kong Polytechnic University,Peking University,Microsoft Research Asia (China),,,,,,,,,,,,,,,,5.0,1.0
438,Scalable Multitask Policy Gradient Reinforcement Learning,Rafik Hariri University Hospital,American University of Beirut,Washington State University,,,,,,,,,,,,,,,,,,,2.0,0.0
439,Accelerating Multiagent Reinforcement Learning through Transfer Learning,Universidade de São Paulo,Universidade de São Paulo,,,,,,,,,,,,,,,,,,,,2.0,0.0
440,Transfer Learning for Deep Learning on Graph-Structured Data,Seoul National University,Seoul National University,Seoul National University,Seoul National University,,,,,,,,,,,,,,,,,,4.0,0.0
441,Resource Constrained Structured Prediction,Boston University,University of Virginia,Boston University,Boston University,,,,,,,,,,,,,,,,,,4.0,0.0
442,Attention Correctness in Neural Image Captioning,"University of California, Los Angeles",University of Southern California,University of Southern California,"University of California, Los Angeles",University of Southern California,Johns Hopkins University,,,,,,,,,,,,,,,,6.0,0.0
443,State Projection via AI Planning,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,,,,,,,,,3.0,0.0
444,Latent Dirichlet Allocation for Unsupervised Activity Analysis on an Autonomous Mobile Robot,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,,,,,,,,,,,,,,,,5.0,0.0
445,Non-Deterministic Planning with Temporally Extended Goals: LTL over Finite and Infinite Traces,University of Toronto,Pontificia Universidad Católica de Chile,University of Toronto,Pontificia Universidad Católica de Chile,University of Toronto,Pontificia Universidad Católica de Chile,,,,,,,,,,,,,,,,6.0,0.0
446,Multiwinner Approval Rules as Apportionment Methods,University of Oxford,French National Centre for Scientific Research,University of Oxford,,,,,,,,,,,,,,,,,,,3.0,0.0
447,GLOMA: Embedding Global Information in Local Matrix Approximation Models for Collaborative Filtering,IBM Research - China,IBM Research - China,University of Colorado Boulder,University of Colorado Boulder,IBM Research - China,East China Normal University,,,,,,,,,,,,,,,,6.0,0.0
448,A Sparse Dictionary Learning Framework to Discover Discriminative Source Activations in EEG Brain Mapping,The University of Texas at Arlington,"Department of Industrial, Manufacturing & Systems Engineering 1 ","Department of Mathematics 2 , Department of Bioengineerin",,,,,,,,,,,,,,,,,,,5.0,0.0
449,Collaborative User Clustering for Short Text Streams,University College London,University College London,University College London,University of Amsterdam,,,,,,,,,,,,,,,,,,4.0,0.0
450,Attentive Interactive Neural Networks for Answer Selection in Community Question Answering,Peking University,Peking University,China University of Mining and Technology,Peking University,Peking University,China University of Mining and Technology,,,,,,,,,,,,,,,,6.0,0.0
451,Improving Deep Reinforcement Learning with Knowledge Transfer *,Universidade de São Paulo,Universidade de São Paulo,,,,,,,,,,,,,,,,,,,,2.0,0.0
452,Active Search in Intensionally Specified Structured Spaces,University of Bonn,University of Nottingham,University of Nottingham,Washington University in St. Louis,,,,,,,,,,,,,,,,,,4.0,0.0
453,Fast Generalized Distillation for Semi-Supervised Domain Adaptation,Western University,Western University,Western University,,,,,,,,,,,,,,,,,,,3.0,0.0
454,Twin Learning for Similarity and Clustering: A Unified Kernel Approach,Southern Illinois University Carbondale,Southern Illinois University Carbondale,Southern Illinois University Carbondale,,,,,,,,,,,,,,,,,,,3.0,0.0
455,Robust Stable Marriage,University College Cork,University College Cork,University College Cork,Laboratoire d'informatique de Nantes Atlantique,,,,,,,,,,,,,,,,,,3.0,0.0
456,Boosting for Real-Time Multivariate Time Series Classification,University of Technology Sydney,University of Technology Sydney,,,,,,,,,,,,,,,,,,,,2.0,0.0
457,Fast-Tracking Stationary MOMDPs for Adaptive Management Problems,Queensland University of Technology," CSIRO, Dutton Park QLD 4102, Australi",University of Strathclyde,Queensland University of Technology,"University of California, Berkeley"," CSIRO, Dutton Park QLD 4102, Australi",,,,,,,,,,,,,,,,4.0,0.0
458,Combining Satellite Imagery and Open Data to Map Road Safety,Hokkaido University,Hokkaido University,Hokkaido University,,,,,,,,,,,,,,,,,,,3.0,0.0
459,Learning to Predict Intent from Gaze During Robotic Hand-Eye Coordination,Georgia Institute of Technology,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,2.0,0.0
460,Reference Based LSTM for Image Captioning *,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Northumbria University,Tsinghua University,,,,,,,,,,,,,,,,6.0,0.0
461,Open-Universe Weighted Model Counting *,University of Edinburgh,,,,,,,,,,,,,,,,,,,,,1.0,0.0
462,Grounded Action Transformation for Robot Learning in Simulation,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,2.0,0.0
463,Dynamic Action Repetition for Deep Reinforcement Learning,Indian Institute of Technology Madras,Indian Institute of Technology Madras,Indian Institute of Technology Madras,,,,,,,,,,,,,,,,,,,3.0,0.0
464,Modeling Skewed Class Distributions by Reshaping the Concept Space,Weber State University,Washington State University,,,,,,,,,,,,,,,,,,,,2.0,0.0
465,Novel Geometric Approach for Global Alignment of PPI Networks *,"University at Buffalo, State University of New York",Michigan State University,"University at Buffalo, State University of New York","University at Buffalo, State University of New York",,,,,,,,,,,,,,,,,,4.0,0.0
466,V for Verification: Intelligent Algorithm of Checking Reliability of Smart Systems,TU Wien,,,,,,,,,,,,,,,,,,,,,1.0,0.0
467,Polynomial Optimization Methods for Matrix Factorization,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,3.0,0.0
468,Efficiently Answering Technical Questions -A Knowledge Graph Approach,Beijing Institute of Big Data Research,Beijing Institute of Big Data Research,Renmin University of China,,,,,,,,,,,,,,,,,,,3.0,0.0
469,PAC Identification of a Bandit Arm Relative to a Reward Quantile,Indian Institute of Technology Bombay,Indian Institute of Technology Bombay,,,,,,,,,,,,,,,,,,,,2.0,0.0
470,Unsupervised Learning with Truncated Gaussian Graphical Models,Duke University,Duke University,Duke University,Duke University,Duke University,,,,,,,,,,,,,,,,,5.0,0.0
471,The Dollar Auction with Spiteful Players,University of Warsaw,University of Southampton,University of Oxford,Imperial College London,,,,,,,,,,,,,,,,,,4.0,0.0
472,Why Teaching Ethics to AI Practitioners Is Important,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
473,Coalition Structure Generation Utilizing Graphical Representation of Partition Function Games,Kyushu University,Kyushu University,Kyushu University,,,,,,,,,,,,,,,,,,,3.0,0.0
474,Hybridizing Interval Temporal Logics: The First Step,University of Warsaw,University of Warsaw,,,,,,,,,,,,,,,,,,,,2.0,0.0
475,Regularization in Hierarchical Time Series Forecasting with Application to Electricity Smart Meter Data,Monash University,Monash University,Stanford University,Universidade Estadual de Campinas,Universidade Estadual de Campinas,Stanford University,,,,,,,,,,,,,,,,6.0,0.0
476,Fine-Grained Car Detection for Visual Census Estimation,Stanford University,University of Michigan–Ann Arbor,,,,,,,,,,,,,,,,,,,,2.0,0.0
477,Tsallis Regularized Optimal Transport and Ecological Inference,École Polytechnique,Data61,Australian National University,University of Sydney," Sony CS Labs, Inc., Japa",Data61,Australian National University,École Polytechnique,,,,,,,,,,,,,,7.0,0.0
478,Self-Paced Multi-Task Learning,Stanford University,IBM Research - China,Nanjing University of Information Science and Technology,East China Normal University,Georgia Institute of Technology,,,,,,,,,,,,,,,,,5.0,0.0
479,Coactive Critiquing: Elicitation of Preferences and Features,University of Trento,University of Trento,University of Trento,,,,,,,,,,,,,,,,,,,3.0,0.0
480,Human-Like Spatial Reasoning Formalisms,University of Warsaw,University of Warsaw,,,,,,,,,,,,,,,,,,,,2.0,0.0
481,Improving Event Causality Recognition with Multiple Background Knowledge Sources Using Multi-Column Convolutional Neural Networks,National Institute of Information and Communications Technology,National Institute of Information and Communications Technology,National Institute of Information and Communications Technology,National Institute of Information and Communications Technology,National Institute of Information and Communications Technology,National Institute of Information and Communications Technology,,,,,,,,,,,,,,,,6.0,0.0
482,Efficiently Mining High Quality Phrases from Texts,Northeastern University,Northeastern University,Northeastern University,Northeastern University,,,,,,,,,,,,,,,,,,4.0,0.0
483,Constrained Pure Nash Equilibria in Polymatrix Games,Indian Institute of Technology Kanpur,University of Liverpool,,,,,,,,,,,,,,,,,,,,2.0,0.0
484,Catch'Em All: Locating Multiple Diffusion Sources in Networks with Partial Observations,Arizona State University,Arizona State University,Arizona State University,,,,,,,,,,,,,,,,,,,3.0,0.0
485,Collaborative Company Profiling: Insights from an Employee's Perspective,Beihang University, Baidu Talent Intelligence Center,Beihang University, Baidu Talent Intelligence Center,Beihang University,"Rutgers, The State University of New Jersey",,,,,,,,,,,,,,,,4.0,0.0
486,Social Choice Under Metric Preferences: Scoring Rules and STV,University of Oxford,University of Oxford,,,,,,,,,,,,,,,,,,,,2.0,0.0
487,Complexity of Manipulating Sequential Allocation,Data61,Grenoble Institute of Technology,Paris Dauphine University,Lamsade,Carnegie Mellon University,,,,,,,,,,,,,,,,,5.0,0.0
488,Exploring Normalization in Deep Residual Networks with Concatenated Rectified Linear Units,NEC Labs Americ,NEC Labs Americ,NEC Labs Americ,,,,,,,,,,,,,,,,,,,3.0,0.0
489,SenseRun: Real-Time Running Routes Recommendation toward Providing Pleasant Running Experiences,Tsinghua University,Ministry of Education,Tsinghua University,Ministry of Education,Tsinghua University,Ministry of Education,Tsinghua University,,,,,,,,,,,,,,,7.0,0.0
490,Scalable Nonparametric Tensor Analysis,Computer Science Department,,,,,,,,,,,,,,,,,,,,,1.0,0.0
491,On the Disruptive Effectiveness of Automated Planning for LTL f -Based Trace Alignment,Sapienza University of Rome,University of Tartu,University of Tartu,Sapienza University of Rome,Sapienza University of Rome,,,,,,,,,,,,,,,,,5.0,0.0
492,Lock-Free Optimization for Non-Convex Problems,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,3.0,0.0
493,Factorization Bandits for Interactive Recommendation,University of Virginia,University of Virginia,University of Virginia,,,,,,,,,,,,,,,,,,,3.0,0.0
494,The Unusual Suspects: Deep Learning Based Mining of Interesting Entity Trivia from Knowledge Graphs,"International Institute of Information Technology, Hyderabad",Indian Institute of Technology Hyderabad,"International Institute of Information Technology, Hyderabad",,,,,,,,,,,,,,,,,,,3.0,0.0
495,Diagnosability Planning for Controllable Discrete Event Systems,Leicester Royal Infirmary,Leicester Royal Infirmary,Data61,Leicester Royal Infirmary,University of Bordeaux,,,,,,,,,,,,,,,,,2.0,0.0
496,A Framework of Online Learning with Imbalanced Streaming Data,University of Technology Sydney,University of Iowa,University of Technology Sydney,Yahoo (United States),,,,,,,,,,,,,,,,,,3.0,1.0
497,Cascade Subspace Clustering *,Institute for Infocomm Research,National University of Singapore,Tsinghua University,Institute for Infocomm Research,Sichuan University,,,,,,,,,,,,,,,,,5.0,0.0
498,A BTP-Based Family of Variable Elimination Rules for Binary CSPs,Aix-Marseille University,,,,,,,,,,,,,,,,,,,,,1.0,0.0
499,RQUERY: Rewriting Natural Language Queries on Knowledge Graphs to Alleviate the Vocabulary Mismatch Problem,University of Dayton,Leipzig University,University of Bonn,University of Dayton,,,,,,,,,,,,,,,,,,4.0,0.0
500,OFFER: Off-Environment Reinforcement Learning,University of Oxford,University of Oxford,,,,,,,,,,,,,,,,,,,,2.0,0.0
501,Approximation and Parameterized Complexity of Minimax Approval Voting,University of Warsaw,University of Warsaw,University of Warsaw,University of Wrocław,,,,,,,,,,,,,,,,,,4.0,0.0
502,Complexity of the Stable Invitations Problem,Stanford University,Stanford University,,,,,,,,,,,,,,,,,,,,2.0,0.0
503,Estimating Uncertainty Online Against an Adversary,Stanford University,Stanford University,,,,,,,,,,,,,,,,,,,,2.0,0.0
504,Incorporating Domain-Independent Planning Heuristics in Hierarchical Planning,Nexus Research,"McLean, V",United States Naval Research Laboratory,,,,,,,,,,,,,,,,,,,2.0,1.0
505,Best-First Width Search: Exploration and Exploitation in Classical Planning,University of Melbourne,Institució Catalana de Recerca i Estudis Avançats,,,,,,,,,,,,,,,,,,,,2.0,0.0
506,Learning to Prune Dominated Action Sequences in Online Black-Box Planning,The University of Tokyo,The University of Tokyo,,,,,,,,,,,,,,,,,,,,2.0,0.0
507,Number Restrictions on Transitive Roles in Description Logics with Nominals,Cardiff University,University of Bremen,,,,,,,,,,,,,,,,,,,,2.0,0.0
508,Unsupervised Large Graph Embedding,Northwestern Polytechnical University,Northwestern Polytechnical University,Xi'an Jiaotong University,,,,,,,,,,,,,,,,,,,3.0,0.0
509,Tunable Sensitivity to Large Errors in Neural Network Training,University of Passau,Ben-Gurion University of the Negev,University of Passau,,,,,,,,,,,,,,,,,,,3.0,0.0
510,Distant Supervision for Relation Extraction with Sentence-Level Attention and Entity Descriptions,Chinese Academy of Sciences,Chinese Academy of Sciences,Chinese Academy of Sciences,Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,4.0,0.0
511,Multiclass Capped p -Norm SVM for Robust Classifications,Northwestern Polytechnical University,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,,,,,,,,,4.0,0.0
512,Schematic Invariants by Reduction to Ground Invariants,Aalto University,Griffith University,Helsinki Institute for Information Technology,,,,,,,,,,,,,,,,,,,3.0,0.0
513,StructInf: Mining Structural Influence from Social Streams,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Georgia Institute of Technology,Renmin University of China,,,,,,,,,,,,,,,,6.0,0.0
514,Gated Neural Networks for Option Pricing: Rationality by Design,Imperial College London,Imperial College London,Imperial College London,,,,,,,,,,,,,,,,,,,3.0,0.0
515,On the Computation of Paracoherent Answer Sets,University of Calabria,University of Calabria,University of Huddersfield,University of Calabria,University of Calabria,,,,,,,,,,,,,,,,,5.0,0.0
516,Ordinal Constrained Binary Code Learning for Nearest Neighbor Search,Xiamen University,Xiamen University," BestImage Lab, Tencent Technology (Shanghai) Co.,Ltd, Chin",Xiamen University,Xiamen University," BestImage Lab, Tencent Technology (Shanghai) Co.,Ltd, Chin",,,,,,,,,,,,,,,,4.0,0.0
517,Policy Search with High-Dimensional Context Variables,The University of Tokyo,McGill University,Technical University of Darmstadt,Technical University of Darmstadt,University of Lincoln,Technical University of Darmstadt,Universidade Estadual de Campinas,Technical University of Darmstadt,The University of Tokyo,RIKEN,,,,,,,,,,,,10.0,0.0
518,Minimal Undefinedness for Fuzzy Answer Sets,University of Calabria,Free University of Bozen-Bolzano,,,,,,,,,,,,,,,,,,,,2.0,0.0
519,Misspecified Linear Bandits,"University of California, Berkeley",Indian Institute of Science Bangalore,Indian Institute of Science Bangalore,,,,,,,,,,,,,,,,,,,3.0,0.0
520,Zero-Shot Recognition via Direct Classifier Learning with Transferred Samples and Pseudo Labels *,Tsinghua University,Tsinghua University,Northumbria University,Tsinghua University,,,,,,,,,,,,,,,,,,4.0,0.0
521,Configuration Planning with Temporal Constraints,Örebro University,Örebro University,,,,,,,,,,,,,,,,,,,,2.0,0.0
522,Low-Rank Linear Cold-Start Recommendation from Social Data,Australian National University,Data61,Australian National University,Data61,Australian National University,University of Toronto,Australian National University,Data61," Rakuten Kobo Inc., Toronto, Canad",,,,,,,,,,,,,8.0,0.0
523,ERMMA: Expected Risk Minimization for Matrix Approximation-based Recommender Systems,IBM Research - China,IBM Research - China,University of Colorado Boulder,University of Colorado Boulder,IBM Research - China,Georgia Institute of Technology,,,,,,,,,,,,,,,,6.0,0.0
524,Computational Issues in Time-Inconsistent Planning,Tsinghua University,University of Wisconsin System,Tsinghua University,Shanghai University of Finance and Economics,,,,,,,,,,,,,,,,,,4.0,0.0
525,Distant Supervision via Prototype-Based Global Representation Learning,Institute of Software,Institute of Software,,,,,,,,,,,,,,,,,,,,2.0,0.0
526,Streaming Classification with Emerging New Class by Class Matrix Sketching *,Nanjing University,Southeast University,Singapore Management University,Singapore Management University,Singapore Management University,Nanjing University,Southeast University,,,,,,,,,,,,,,,7.0,0.0
527,Deep Learning for Fixed Model Reuse *,Nanjing University,Southeast University,,,,,,,,,,,,,,,,,,,,2.0,0.0
528,Source Information Disclosure in Ontology-Based Data Integration,Computer Science Department,Computer Science Department,Computer Science Department,,,,,,,,,,,,,,,,,,,3.0,0.0
529,Dynamic Optimization of Landscape Connectivity Embedding Spatial-Capture-Recapture Information,Cornell University,Cornell University,NY Coop. Fish & Wildlife Res. Unit Dept. of Natural Resources Cornell Universit,Georgia Institute of Technology,United States Geological Survey,United States Geological Survey,Cornell University,,,,,,,,,,,,,,,7.0,0.0
530,Inductive Reasoning about Ontologies Using Conceptual Spaces,Cardiff University,Cardiff University,Cardiff University,,,,,,,,,,,,,,,,,,,3.0,0.0
531,Cycle-Based Singleton Local Consistencies,Advanced Systems Laboratory,University of Montpellier,Advanced Systems Laboratory,University of Montpellier,University of Nebraska–Lincoln,,,,,,,,,,,,,,,,,3.0,0.0
532,Frame-Based Ontology Alignment,University of Bologna,Institute of Cognitive Sciences and Technologies,Institute of Cognitive Sciences and Technologies,University of Bologna,,,,,,,,,,,,,,,,,,4.0,0.0
533,Multi-Kernel Low-Rank Dictionary Pair Learning for Multiple Features Based Image Classification,Wuhan University,Henan University,Wuhan University,Nanjing University of Posts and Telecommunications,Nanjing University of Posts and Telecommunications,Wuhan University,Wuhan University,Wuhan University,Wuhan University,Wuhan University,,,,,,,,,,,,10.0,0.0
534,Random Features for Shift-Invariant Kernels with Moment Matching,East China Normal University,GE Global Research (United States),GE Global Research (United States),East China Normal University,,,,,,,,,,,,,,,,,,2.0,2.0
535,Probabilistic Non-Negative Matrix Factorization and Its Robust Extensions for Topic Modeling,Xi'an Jiaotong University,Carnegie Mellon University,Northwestern Polytechnical University,University of Technology,University of Technology,Carnegie Mellon University,Xi'an Jiaotong University,,,,,,,,,,,,,,,7.0,0.0
536,Maximizing the Probability of Arriving on Time: A Practical Q-Learning Method,Nanyang Technological University,University of Electronic Science and Technology of China,Nanyang Technological University,University of Liverpool,University of Amsterdam,BMW Group (Germany),,,,,,,,,,,,,,,,5.0,1.0
537,Evolutionary Machine Learning for RTS Game StarCraft,University of Oxford,University of Oxford,,,,,,,,,,,,,,,,,,,,2.0,0.0
538,Self-Correcting Models for Model-Based Reinforcement Learning,Franklin & Marshall College,,,,,,,,,,,,,,,,,,,,,1.0,0.0
539,Preferential Structures for Comparative Probabilistic Reasoning,"University of California, Berkeley","Department of Philosophy and Group in Logic and the Methodology of Science University of California, Berkele",Stanford University,,,,,,,,,,,,,,,,,,,2.0,0.0
540,Solving Advanced Argumentation Problems with Answer-Set Programming,Leipzig University,TU Wien,TU Wien,TU Wien,TU Wien,,,,,,,,,,,,,,,,,5.0,0.0
541,Automatic Curriculum Graph Generation for Reinforcement Learning Agents,The University of Texas at Austin,University of Leeds,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,,6.0,0.0
542,Learning Unitary Operators with Help From u(n),ETH Zurich,Weill Cornell Medicine,ETH Zurich,,,,,,,,,,,,,,,,,,,3.0,0.0
543,An Evolutionary Algorithm Based Framework for Task Allocation in Multi-Robot Teams,Institute of Business Administration Karachi,,,,,,,,,,,,,,,,,,,,,1.0,0.0
544,Arnold: An Autonomous Agent to Play FPS Games,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,3.0,0.0
545,Computing Least Cores of Supermodular Cooperative Games,National Institute of Informatics,National Institute of Informatics,,,,,,,,,,,,,,,,,,,,2.0,0.0
546,Phragmén's Voting Methods and Justified Representation,University of Oxford,Duke University,Uppsala University,University of Oxford,,,,,,,,,,,,,,,,,,4.0,0.0
547,Causal Effect Identification by Adjustment under Confounding and Selection Biases,Purdue University West Lafayette,Purdue University West Lafayette,,,,,,,,,,,,,,,,,,,,2.0,0.0
548,Multi-Path Feedback Recurrent Neural Networks for Scene Parsing,Nazarbayev University,National University of Singapore,National University of Singapore,National University of Singapore,National University of Singapore,,,,,,,,,,,,,,,,,5.0,0.0
549,On Equivalence and Inconsistency of Answer Set Programs with External Sources *,TU Wien,,,,,,,,,,,,,,,,,,,,,1.0,0.0
550,Grid Pathfinding on the 2 k Neighborhoods,"Department of Informatics King's College London London, U",Andrés Bello University,Pontificia Universidad Católica de Chile,,,,,,,,,,,,,,,,,,,2.0,0.0
551,Generalization Error Bounds for Optimization Algorithms via Stability,Peking University,Beijing Jiaotong University,Microsoft Research (India),Microsoft Research (India),Academy of Mathematics and Systems Science,Microsoft Research (India),,,,,,,,,,,,,,,,3.0,3.0
552,Narrowing the Gap Between Saturated and Optimal Cost Partitioning for Classical Planning,University of Basel,University of Basel,University of Basel,,,,,,,,,,,,,,,,,,,3.0,0.0
553,Multi-Agent Path Finding with Delay Probabilities *,University of Southern California,University of Southern California,University of Southern California,,,,,,,,,,,,,,,,,,,3.0,0.0
554,Problem Formulation for Accommodation Support in Plan-Based Interactive Narratives *,North Carolina State University,,,,,,,,,,,,,,,,,,,,,1.0,0.0
555,Non-Additive Security Games,The Ohio State University,The Ohio State University,The Ohio State University,,,,,,,,,,,,,,,,,,,3.0,0.0
556,Automated Design of Robust Mechanisms,Duke University,Duke University,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,3.0,0.0
557,Maximum Model Counting,"University of California, Berkeley","University of California, Berkeley","University of California, Berkeley",,,,,,,,,,,,,,,,,,,3.0,0.0
558,Bootstrapping with Models: Confidence Intervals for Off-Policy Evaluation,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,3.0,0.0
559,Learning Options in Multiobjective Reinforcement Learning,Universidade de São Paulo,"Cidade Universitária, São Paulo",North China Electric Power University,,,,,,,,,,,,,,,,,,,3.0,0.0
560,Learning to Avoid Dominated Action Sequences in Planning for Black-Box Domains (Extended Abstract),Graduate School of Arts and Sciences The University of Toky,Graduate School of Arts and Sciences The University of Toky,,,,,,,,,,,,,,,,,,,,2.0,0.0
561,Species Distribution Modeling of Citizen Science Data as a Classification Problem with Class-Conditional Noise, School of Electrical Engineering and Computer Science,Louisiana Department of Wildlife and Fisheries, School of Electrical Engineering and Computer Science," Statistics Dept. Oregon State University Corvallis, OR 9733",,,,,,,,,,,,,,,,,,1.0,0.0
562,ConceptNet 5.5: An Open Multilingual Graph of General Knowledge,"Luminoso Technologies, Inc. 675 Massachusetts Avenue Cambridge, MA 0213",Union College,"Luminoso Technologies, Inc. 675 Massachusetts Avenue Cambridge, MA 0213",,,,,,,,,,,,,,,,,,,1.0,0.0
563,Poisson Sum-Product Networks: A Deep Architecture for Tractable Multivariate Poisson Distributions,TU Dortmund University,Indiana University,TU Dortmund University,,,,,,,,,,,,,,,,,,,3.0,0.0
564,Query-Efficient Imitation Learning for End-to-End Simulated Driving,New York University,New York University,,,,,,,,,,,,,,,,,,,,2.0,0.0
565,An Event Reconstruction Tool for Conflict Monitoring Using Social Media,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,7.0,0.0
566,Using Discourse Signals for Robust Instructor Intervention Prediction,National University of Singapore,University of Pittsburgh,University of Pittsburgh,National University of Singapore,National University of Singapore,University of Pittsburgh,University of Pittsburgh,,,,,,,,,,,,,,,7.0,0.0
567,Word Embedding Based Correlation Model for Question/Answer Matching,Beihang University,Beihang University,Beihang University,University of Hong Kong,Tsinghua University,Beihang University,,,,,,,,,,,,,,,,6.0,0.0
568,Efficient Ordered Combinatorial Semi-Bandits for Whole-Page Recommendation,Princeton University," Apple Inc., hu",Bell (Canada), Yahoo Research,Princeton University, Huawei Research America,,,,,,,,,,,,,,,,2.0,1.0
569,Teams in Online Scheduling Polls: Game-Theoretic Aspects *,University of Oxford,Technical University of Berlin,Technical University of Berlin,Hebrew University of Jerusalem,Weizmann Institute of Science,,,,,,,,,,,,,,,,,5.0,0.0
