Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,num_academia,num_company
70,Stochastic Bandits with Graph Feedback in Non-Stationary Environments,Nanjing University," YouKu Cognitive and Intelligent Lab, Alibaba Group, Beijing 100102, Chin",Nanjing University,,,,,,,,,,,,,,,,,,,,2.0,0.0
71,On Generating Plausible Counterfactual and Semi-Factual Explanations for Deep Learning,University College Dublin,University College Dublin,Danish National Centre for Social Research,,,,,,,,,,,,,,,,,,,,3.0,0.0
72,Few-Shot One-Class Classification via Meta-Learning, Siemens AI La, Siemens Technolog,Ludwig-Maximilians-Universität München, Siemens AI La, Siemens Technolog, Siemens Digital Industrie, Siemens Technolog,Ludwig-Maximilians-Universität München,,,,,,,,,,,,,,,2.0,0.0
73,YOLObile: Real-Time Object Detection on Mobile Devices via Compression-Compilation Co-Design,Northeastern University,Northeastern University,Northeastern University,William & Mary,Northeastern University,University of Pittsburgh,William & Mary,Northeastern University,,,,,,,,,,,,,,,8.0,0.0
74,Recognizing and Verifying Mathematical Equations using Multiplicative Differential Neural Units,Pennsylvania State University,Rochester Institute of Technology,Pennsylvania State University,Pennsylvania State University,,,,,,,,,,,,,,,,,,,4.0,0.0
75,Physics-Informed Deep Learning for Traffic State Estimation: A Hybrid Paradigm Informed By Second-Order Traffic Models,Columbia University,Columbia University,Columbia University,,,,,,,,,,,,,,,,,,,,3.0,0.0
76,Learning to Reweight Imaginary Transitions for Model-Based Reinforcement Learning,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,Center for Excellence in Brain Science and Intelligence Technology,,,,,,,,,,,,,,9.0,0.0
77,Hierarchical Graph Convolution Networks for Traffic Forecasting,Beijing University of Technology,Peng Cheng Laboratory,Beijing University of Technology,Beijing University of Technology,Carnegie Mellon University,University of Sydney,Beijing University of Technology,Peng Cheng Laboratory,,,,,,,,,,,,,,,8.0,0.0
78,Contrastive and Generative Graph Convolutional Networks for Graph-based Semi-Supervised Learning,Portland Cement Association,Monash University,Portland Cement Association,Portland Cement Association,Hong Kong Polytechnic University,,,,,,,,,,,,,,,,,,5.0,0.0
79,Semantic-guided Reinforced Region Embedding for Generalized Zero-Shot Learning,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,,,,,,,,,,,,,,,,,,,4.0,0.0
80,Temporal ROI Align for Video Object Recognition,University of Science and Technology of China,Academia Sinica, SenseTime Researc, SenseTime Researc,University of Science and Technology of China,Academia Sinica, SenseTime Researc,Chinese University of Hong Kong,University of Science and Technology of China,Academia Sinica,Beijing Electronic Science and Technology Institute,,,,,,,,,,,,8.0,0.0
81,Online Learning in Variable Feature Spaces under Incomplete Supervision,University of Louisiana at Lafayette,University of Louisiana at Lafayette,University of Louisiana at Lafayette,Hefei University of Technology," Mininglamp Academy of Sciences, Mininglamp Technology, Chin",,,,,,,,,,,,,,,,,,4.0,0.0
82,Co-GAT: A Co-Interactive Graph Attention Network for Joint Dialog Act Recognition and Sentiment Classification,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,,,,,,,,,,,,,,,,,,5.0,0.0
83,A Theory of Independent Mechanisms for Extrapolation in Generative Models,Max Planck Institute for Intelligent Systems,Max Planck Institute for Biological Cybernetics,Max Planck Institute for Intelligent Systems,École Normale Supérieure de Rennes,Max Planck Institute for Intelligent Systems,Max Planck Institute for Intelligent Systems,,,,,,,,,,,,,,,,,6.0,0.0
84,Proactive Privacy-preserving Learning for Retrieval,University of Queensland,University of Queensland,Shandong University,,,,,,,,,,,,,,,,,,,,3.0,0.0
85,Answering Complex Queries in Knowledge Graphs with Bidirectional Sequence Encoders,"NEC Laboratories Europe Heidlberg, German","NEC Laboratories Europe Heidlberg, German","NEC Laboratories Europe Heidlberg, German",,,,,,,,,,,,,,,,,,,,3.0,0.0
86,Cost-aware Graph Generation: A Deep Bayesian Optimization Approach,Jilin University,Jilin University,Jilin University,Jilin University,Jilin University,Jilin University,National University of Defense Technology,Hong Kong Baptist University,,,,,,,,,,,,,,,8.0,0.0
87,A General Offline Reinforcement Learning Framework for Interactive Recommendation,Westlake University,Westlake University,,,,,,,,,,,,,,,,,,,,,2.0,0.0
88,Accelerating Neural Machine Translation with Partial Word Embedding Compression,Communication University of China,SRC,SRC,Communication University of China,,,,,,,,,,,,,,,,,,,4.0,0.0
89,Revisiting Co-Occurring Directions: Sharper Analysis and Efficient Algorithm for Sparse Matrices,Hong Kong University of Science and Technology,Shanghai Jiao Tong University,Peking University,Xi'an Jiaotong University,,,,,,,,,,,,,,,,,,,4.0,0.0
90,Why Adversarial Interaction Creates Non-Homogeneous Patterns: A Pseudo-Reaction-Diffusion Model for Turing Instability,Indian Space Research Organisation,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
91,Learning from eXtreme Bandit Feedback,"University of California, Berkeley",Amazon (United States),The University of Texas at Austin,"University of California, Berkeley",Amazon (United States),,,,,,,,,,,,,,,,,,3.0,2.0
