Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,num_academia,num_company
169,Semantic Graph Construction for Weakly-Supervised Image Parsing,Peking University,Peking University,Peking University,,,,,,,,,,,3.0,0.0
170,Efficient Codes for Inverse Dynamics During Walking,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,2.0,0.0
171,Synthesis of Geometry Proof Problems,Louisiana State University,"Microsoft Research, Redmon",Louisiana State University,,,,,,,,,,,2.0,0.0
172,Rounded Dynamic Programming for Tree-Structured Stochastic Network Design,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,,,,,,,,3.0,0.0
173,Novel Density-Based Clustering Algorithms for Uncertain Data,Dalian University of Technology,Dalian University of Technology,Dalian University of Technology,Dalian University of Technology,,,,,,,,,,4.0,0.0
174,Item Bidding for Combinatorial Public Projects,Athens University of Economics and Business,Athens University of Economics and Business,,,,,,,,,,,,2.0,0.0
175,Experiments on Visual Information Extraction with the Faces of Wikipedia,Université de Montréal,Université de Montréal,,,,,,,,,,,,2.0,0.0
176,Adding Local Exploration to Greedy Best-First Search in Satisficing Planning,University of Alberta,University of Alberta,University of Alberta,,,,,,,,,,,3.0,0.0
177,Planning as Model Checking in Hybrid Domains,University of Freiburg,King's College London,University of Freiburg,University of Basel,,,,,,,,,,4.0,0.0
178,LSDH: A Hashing Approach for Large-Scale Link Prediction in Microblogs,Institute of Computing Technology,Institute of Computing Technology,Institute of Computing Technology,Institute of Computing Technology,Institute of Computing Technology,Institute of Computing Technology,,,,,,,,6.0,0.0
179,Small-Variance Asymptotics for Dirichlet Process Mixtures of SVMs,Tsinghua University,Tsinghua University,,,,,,,,,,,,2.0,0.0
180,Multilabel Classification with Label Correlations and Missing Labels,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,,,,,,,,,,,3.0,0.0
181,Structured Possibilistic Planning Using Decision Diagrams,"Onera -The French Aerospace Lab 2 avenue Edouard Belin 31055 Toulouse Cedex 4, Franc","Onera -The French Aerospace Lab 2 avenue Edouard Belin 31055 Toulouse Cedex 4, Franc","Onera -The French Aerospace Lab 2 avenue Edouard Belin 31055 Toulouse Cedex 4, Franc",Université Toulouse III - Paul Sabatier,,,,,,,,,,1.0,0.0
182,Gradient Descent with Proximal Average for Nonconvex and Composite Regularization,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,,,,,,,,,,4.0,0.0
183,Online (Budgeted) Social Choice,University of Toronto,"Microsoft Research, New England,US",,,,,,,,,,,,1.0,0.0
184,Prediction of Helpful Reviews Using Emotions Extraction,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,,,,,,,,,,,,2.0,0.0
185,Using Model-Based Diagnosis to Improve Software Testing,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,,,,,,,,,,,3.0,0.0
186,Generalizing Policy Advice with Gaussian Process Bandits for Dynamic Skill Improvement,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,,,,,,,,,,2.0,0.0
187,Fused Feature Representation Discovery for High-Dimensional and Sparse Data,National Taitung University,National Taitung University,,,,,,,,,,,,2.0,0.0
188,Biased Games,University of Patras,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,3.0,0.0
189,Strategyproof Exchange with Multiple Private Endowments,Kyushu University,Kyushu University,Kyushu University,,,,,,,,,,,3.0,0.0
