Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,num_academia,num_company
102,Towards Cross-Modality Medical Image Segmentation with Online Mutual Knowledge Distillation,Chinese University of Hong Kong,Chinese University of Hong Kong,Chinese University of Hong Kong,Chinese University of Hong Kong,Shenzhen Institutes of Advanced Technology,,,,,,,,,,,,,,,,,,,,,5.0,0.0
103,Cross-Modal Subspace Clustering via Deep Canonical Correlation Analysis,Xidian University,Xidian University,Xidian University,Shenyang Institute of Automation,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
104,RiskOracle: A Minute-Level Citywide Traffic Accident Forecasting Framework,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Electronic Science and Technology of China,,,,,,,,,,,,,,,,,,,7.0,0.0
105,Planning with Abstract Learned Models While Learning Transferable Subtasks,"University of Maryland, Baltimore County",Carnegie Mellon University,University of Massachusetts Amherst,"University of Maryland, Baltimore County",Simmons University,"University of Maryland, Baltimore County", Erebus Oh,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,7.0,0.0
106,AutoDAL: Distributed Active Learning with Automatic Hyperparameter Selection,SAS Institute (United States),SAS Institute (United States),,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
107,Learning with Unsure Responses,NEC (United States),New England College,New England College,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
108,Refining Tournament Solutions via Margin of Victory,Technical University of Berlin,Technical University of Berlin,University of Oxford,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
109,Attention-over-Attention Field-Aware Factorization Machine,Wuhan University,Wuhan University,Wuhan University,University of Southampton,Wuhan University,Tsinghua University,Zhejiang University,,,,,,,,,,,,,,,,,,,7.0,0.0
110,GMAN: A Graph Multi-Attention Network for Traffic Prediction,Xiamen University,Xiamen University,Xiamen University,Xiamen University,Xiamen University,Xiamen University,Xiamen University,Xiamen University,Xiamen University,University of Melbourne,,,,,,,,,,,,,,,,10.0,0.0
111,Graph Representation Learning via Ladder Gamma Variational Autoencoders,Duke University,Indian Institute of Technology Kanpur,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
112,FAN-Face: a Simple Orthogonal Improvement to Deep Face Recognition,University of Nottingham,Samsung Medical Center,University of Nottingham,Samsung Medical Center,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
113,Attention Based Data Hiding with Generative Adversarial Networks,Nvidia (United States),,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
114,Asymptotic Risk of Bézier Simplex Fitting,Keio University,Keio University,RIKEN Center for Advanced Intelligence Project,"Fujitsu Laboratories LTD., RIKEN AI",,,,,,,,,,,,,,,,,,,,,,2.0,2.0
115,HAL: Improved Text-Image Matching by Mitigating Visual Semantic Hubs,University of Cambridge,Aalto University,MSIGHT Technologies (China)," SenseTime Research, Beijing, Chin",,,,,,,,,,,,,,,,,,,,,,2.0,1.0
116,UCF-STAR: A Large Scale Still Image Dataset for Understanding Human Actions,University of Central Florida,University of Central Florida,University of Central Florida,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
117,Dynamic Embedding on Textual Networks via a Gaussian Process,Duke University,Duke University,Duke University,Duke University,Duke University,Duke University,,,,,,,,,,,,,,,,,,,,6.0,0.0
118,Towards Making the Most of BERT in Neural Machine Translation,Shanghai Jiao Tong University,China Meteorological Administration,China Meteorological Administration,China Meteorological Administration,Shanghai Jiao Tong University,Shanghai Jiao Tong University,China Meteorological Administration,,,,,,,,,,,,,,,,,,,7.0,0.0
