Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,num_academia,num_company
277,KOALA: A Kalman Optimization Algorithm with Loss Adaptivity,University of Bern,University of Bern,University of Bern,University of Bern,University of Bern,University of Bern,,,,,,,,,,,,,,,,,,,,,6.0,0.0
278,HEAL: A Knowledge Graph for Distress Management Conversations,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
279,Fast Approximations for Job Shop Scheduling: A Lagrangian Dual Deep Learning Method,Syracuse University,Syracuse University,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
280,Prune and Tune Ensembles: Low-Cost Ensemble Learning With Sparse Independent Subnetworks,"Department of Computer Science Colorado State University Fort Collins, CO 8052","Department of Computer Science Colorado State University Fort Collins, CO 8052",,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
281,Training Robust Deep Models for Time-Series Domain: Novel Algorithms and Theoretical Analysis,Washington State University,Washington State University,Washington State University,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
282,"Learning Logic Programs Through Divide, Constrain, and Conquer",University of Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
283,Sparse Cross-Scale Attention Network for Efficient LiDAR Panoptic Segmentation,Hong Kong University of Science and Technology, DEEPROUTE.A, DEEPROUTE.A, DEEPROUTE.A, DEEPROUTE.A,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
284,Privacy-Preserving Face Recognition in the Frequency Domain,University of Canterbury,University of Canterbury,University of Canterbury,University of Canterbury,University of Canterbury,University of Canterbury,,,,,,,,,,,,,,,,,,,,,6.0,0.0
285,PUMA: Performance Unchanged Model Augmentation for Training Data Removal," CCPA in California, GDPR in Europe, PIPEDA in Canada"," LGPD in Brazil, and NDBS in Australia",,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
286,Robust and Resource-Efficient Data-Free Knowledge Distillation by Generative Pseudo Replay,Institute for Infocomm Research,National University of Singapore,National University of Singapore,Institute for Infocomm Research,Institute for Infocomm Research,National University of Singapore,,,,,,,,,,,,,,,,,,,,,6.0,0.0
287,Learning Influence Adoption in Heterogeneous Networks,Duke University,Duke University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
288,AlphaHoldem: High-Performance Artificial Intelligence for Heads-Up No-Limit Poker via End-to-End Reinforcement Learning,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,Tsinghua University,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,,11.0,0.0
289,Introducing Symmetries to Black Box Meta Reinforcement Learning,Università della Svizzera italiana,Università della Svizzera italiana,Università della Svizzera italiana,Università della Svizzera italiana,Università della Svizzera italiana,Università della Svizzera italiana,Università della Svizzera italiana,,,,,,,,,,,,,,,,,,,,7.0,0.0
290,Breaking the Convergence Barrier: Optimization via Fixed-Time Convergent Flows,Indian Institute of Technology Kharagpur,Tata Consultancy Services (India),"University of California, Santa Cruz",Indian Institute of Technology Kharagpur,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
291,Semantic Self-Segmentation for Abstractive Summarization of Long Documents in Low-Resource Regimes,University of Bologna,Camden and Islington NHS Foundation Trust,University of Bologna,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
292,How to Distribute Data across Tasks for Meta-Learning?,MediaTek (China),MediaTek (China),MediaTek (China),MediaTek (China),University of Cambridge,MediaTek (China),MediaTek (China),MediaTek (China),,,,,,,,,,,,,,,,,,,1.0,7.0
