Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,num_academia,num_company
36,A Switching Planner for Combined Task and Observation Planning,University of Freiburg,University of Birmingham,University of Birmingham,,,,,,,,,,3.0,0.0
37,Simulated Annealing Based Influence Maximization in Social Networks,Peking University,Peking University,Nanyang Technological University,Peking University,Peking University,Peking University,,,,,,,6.0,0.0
38,Finding Answers and Generating Explanations for Complex Biomedical Queries,Sabancı University," Research and Development Department, Sanovel Pharmaceutical Inc., İstanbul, Turke",Sabancı University,Sabancı University,,,,,,,,,3.0,0.0
39,Block A*: Database-Driven Search with Applications in Any-Angle Path-Planning,University of Alberta,University of Alberta,University of Alberta,University of Alberta,,,,,,,,,4.0,0.0
40,Reasoning About General Games Described in GDL-II,Reykjavík University,UNSW Sydney,,,,,,,,,,,2.0,0.0
41,Commitment to Correlated Strategies,Duke University,Duke University,,,,,,,,,,,2.0,0.0
42,Incorporating Boosted Regression Trees into Ecological Latent Variable Models,Oregon State University,Oregon State University,Oregon State University,,,,,,,,,,3.0,0.0
43,Multi-Level Cluster Indicator Decompositions of Matrices and Tensors,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,3.0,0.0
44,M-Unit EigenAnt: An Ant Algorithm to Find the M Best Solutions,Indian Institute of Technology Delhi,Indian Institute of Technology Delhi,"IBM India Research Lab. 4 Block C, Institutional Area Vasant Kunj New Delhi -110070, Indi",Indian Institute of Technology Delhi,,,,,,,,,3.0,1.0
45,Solving 4x5 Dots-And-Boxes,"University of California, Los Angeles","University of California, Los Angeles",,,,,,,,,,,2.0,0.0
46,Assessing Quality in the Web of Linked Sensor Data *,University of Aberdeen,University of Aberdeen,,,,,,,,,,,2.0,0.0
47,Extending the Applications of Recent Real-time Heuristic Search,University of Alberta,University of Alberta,,,,,,,,,,,2.0,0.0
48,Comparing Action-Query Strategies in Semi-Autonomous Agents,Computer Science and Engineering University of Michiga,Computer Science and Engineering University of Michiga,Computer Science and Engineering University of Michiga,,,,,,,,,,3.0,0.0
49,Web Personalization and Cohort Information Services for Natural Resource Managers,"Colorado State University Computer Science Department Fort Collins, Colorado 8052", http://beethoven.cs.colostate.edu/Matilda/ Research Trajector,,,,,,,,,,,1.0,0.0
50,Constrained Coalition Formation,University of Southampton,University of Southampton,University of Warsaw,Nanyang Technological University,AGH University of Science and Technology,University of Warsaw,University of Liverpool,University of Southampton,,,,,8.0,0.0
51,Discovering Life Cycle Assessment Trees from Impact Factor Databases,Virginia Tech,Virginia Tech,Virginia Tech,FX Palo Alto Laboratory,FX Palo Alto Laboratory,,,,,,,,5.0,0.0
52,Enforcing Liveness in Autonomous Traffic Management,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,3.0,0.0
53,Identifying Evaluative Sentences in Online Discussions," State Key Lab of Intelligent Tech. & Sys., Tsinghua National Lab for Info. Sci. and Tech.",Tsinghua University,University of Illinois at Chicago,University of Illinois at Chicago," State Key Lab of Intelligent Tech. & Sys., Tsinghua National Lab for Info. Sci. and Tech.",Tsinghua University," State Key Lab of Intelligent Tech. & Sys., Tsinghua National Lab for Info. Sci. and Tech.",Tsinghua University,,,,,5.0,0.0
