Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,num_academia,num_company
80,Learning Predictive State Representations from Non-Uniform Sampling,National Research Council Canada,McGill University,McGill University,University of Cambridge,McGill University,McGill University,,,,,,,,,,,,,,6.0,0.0
81,Inferring Emotion from Conversational Voice Data: A Semi-Supervised Multi-Path Generative Neural Network Approach,Tsinghua University," Key Laboratory of Pervasive Computing, Ministry of Education Tsinghua National Laboratory for Information Science and Technology (TNList",Tsinghua University," Key Laboratory of Pervasive Computing, Ministry of Education Tsinghua National Laboratory for Information Science and Technology (TNList",Tsinghua University," Key Laboratory of Pervasive Computing, Ministry of Education Tsinghua National Laboratory for Information Science and Technology (TNList",University of Science and Technology Beijing,Tsinghua University," Key Laboratory of Pervasive Computing, Ministry of Education Tsinghua National Laboratory for Information Science and Technology (TNList",Tsinghua University,,,,,,,,,,6.0,0.0
82,Learning Multi-Way Relations via Tensor Decomposition with Neural Networks,"Fujitsu Laboratories Ltd. 4-1-1, Kamikodanaka, Nakahara-ku, Kawasaki, Kanagawa, Japa","Fujitsu Laboratories Ltd. 4-1-1, Kamikodanaka, Nakahara-ku, Kawasaki, Kanagawa, Japa","Fujitsu Laboratories Ltd. 4-1-1, Kamikodanaka, Nakahara-ku, Kawasaki, Kanagawa, Japa","Fujitsu Laboratories Ltd. 4-1-1, Kamikodanaka, Nakahara-ku, Kawasaki, Kanagawa, Japa","Fujitsu Laboratories Ltd. 4-1-1, Kamikodanaka, Nakahara-ku, Kawasaki, Kanagawa, Japa","Fujitsu Laboratories Ltd. 4-1-1, Kamikodanaka, Nakahara-ku, Kawasaki, Kanagawa, Japa","Fujitsu Laboratories Ltd. 4-1-1, Kamikodanaka, Nakahara-ku, Kawasaki, Kanagawa, Japa",,,,,,,,,,,,,7.0,0.0
83,VSE-ens: Visual-Semantic Embeddings with Efficient Negative Sampling,University of Glasgow,Northeastern University,,,,,,,,,,,,,,,,,,2.0,0.0
84,Automatic Generation of Text Descriptive Comments for Code Blocks,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,,,,,,,,,2.0,0.0
85,A Change-Detection Based Framework for Piecewise-Stationary Multi-Armed Bandit Problem,The Ohio State University,The Ohio State University,The Ohio State University,,,,,,,,,,,,,,,,,3.0,0.0
86,Self-View Grounding Given a Narrated 360 Degree Video,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,6.0,0.0
87,Approximate Vanishing Ideal via Data Knotting,Department of Information and Communication Engineering,The University of Tokyo,,,,,,,,,,,,,,,,,,2.0,0.0
88,Unsupervised Learning of Geometry from Videos with Edge-Aware Depth-Normal Consistency,University of Southern California, Baidu Researc, Baidu Researc, Baidu Researc,University of Southern California,,,,,,,,,,,,,,,2.0,0.0
89,Bernoulli Embeddings for Graphs,Netflix (United States),IBM Research - India,IBM Research - Almaden,,,,,,,,,,,,,,,,,2.0,1.0
90,Deep Structured Learning for,Chinese Academy of Sciences,Institute of Computing Technology,University of Chinese Academy of Sciences,Chinese Academy of Sciences,Institute of Computing Technology,University of Chinese Academy of Sciences,,,,,,,,,,,,,,6.0,0.0
91,Unravelling Robustness of Deep Learning Based Face Recognition against Adversarial Attacks,Indian Institute of Technology Delhi," IBM IRL, Bangalore, India",IBM Research - Thomas J. Watson Research Center,Indian Institute of Technology Delhi,Indian Institute of Technology Delhi,Indian Institute of Technology Delhi,,,,,,,,,,,,,,5.0,0.0
92,Semi-Black Box: Rapid Development of Planning Based Solutions,IBM Research - Thomas J. Watson Research Center,"IBM Watson Health Haifa, Israe",University of Haifa,,,,,,,,,,,,,,,,,2.0,1.0
93,Learning Interpretable Spatial Operations in a Rich 3D Blocks World,University of Washington, Work performed at USC's Information Sciences Institute,University of Illinois Urbana-Champaign,University of Washington, Amazon Inc, Work performed at USC's Information Sciences Institute,,,,,,,,,,,,,,3.0,1.0
94,Cross-Lingual Learning with Distributed Representations,Slovak University of Technology in Bratislava,,,,,,,,,,,,,,,,,,,1.0,0.0
95,Multi-Attention Recurrent Network for Human Communication Comprehension,Carnegie Mellon University,Carnegie Mellon University,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,Carnegie Mellon University,,,,,,,,,,,,,,6.0,0.0
96,Computational Results for Extensive-Form Adversarial Team Games,Politecnico di Milano,Politecnico di Milano,,,,,,,,,,,,,,,,,,2.0,0.0
97,State of the Art: Reproducibility in Artificial Intelligence,Norwegian University of Science and Technology,Norwegian University of Science and Technology,Norwegian University of Science and Technology,,,,,,,,,,,,,,,,,3.0,0.0
98,Inexact Proximal Gradient Methods for Non-Convex and Non-Smooth Optimization,University of Pittsburgh,The University of Texas at Arlington,University of Pittsburgh,University of Pittsburgh,,,,,,,,,,,,,,,,4.0,0.0
99,Deep Reinforcement Learning for Unsupervised Video Summarization with Diversity-Representativeness Reward,Shenzhen Institutes of Advanced Technology,Queen Mary University of London,,,,,,,,,,,,,,,,,,2.0,0.0
100,Direct Hashing without Pseudo-Labels,University of Pittsburgh,University of Pittsburgh,,,,,,,,,,,,,,,,,,2.0,0.0
101,Towards Ultra-High Performance and Energy Efficiency of Deep Learning Systems: An Algorithm-Hardware Co-Optimization Framework,Syracuse University,Syracuse University,Syracuse University,Syracuse University,City University of New York,Syracuse University,City University of New York,University of Southern California,Syracuse University,Syracuse University,Northeastern University,,,,,,,,,11.0,0.0
102,Phase-Parametric Policies for Reinforcement Learning in Cyclic Environments,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,2.0,0.0
103,WiFi-Based Human Identification via Convex Tensor Shapelet Learning,"University of California, Berkeley","University of California, Berkeley",Nanyang Technological University,Tsinghua–Berkeley Shenzhen Institute,Nanyang Technological University,"University of California, Berkeley",,,,,,,,,,,,,,6.0,0.0
104,Canonical Correlation Inference for Mapping Abstract Scenes to Text,School of Informatics University of Edinburg,Stanford University,School of Informatics University of Edinburg,,,,,,,,,,,,,,,,,1.0,0.0
105,"Knowledge, Fairness, and Social Constraints",Data61,Grenoble Alpes University,University of Patras,University of Patras,French National Centre for Scientific Research,,,,,,,,,,,,,,,5.0,0.0
106,Human-in-the-Loop SLAM,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,,2.0,0.0
107,Safe Reinforcement Learning via Formal Methods: Toward Safe Control Through Proof and Learning,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,2.0,0.0
108,Few Shot Transfer Learning Between Word Relatedness and Similarity Tasks Using a Gated Recurrent Siamese Network,National University of Ireland,National University of Ireland,,,,,,,,,,,,,,,,,,2.0,0.0
