Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,inst28,inst29,inst30,inst31,inst32,inst33,inst34,inst35,inst36,inst37,inst38,inst39,inst40,inst41,num_academia,num_company
467,A Closed Form Solution to Multi-View Low-Rank Regression,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
468,Solving Games with Functional Regret Estimation,Carnegie Mellon University,"Department of Computing Science * 2-21 Athabasca Hall University of Alberta Edmonton, AB T6G 2E8 Canad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
469,The Utility of Text: The Case of Amicus Briefs and the Supreme Court,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
470,Gene Selection in Microarray Datasets Using Progressively Refined PSO Scheme,Indian Institute of Technology Delhi,Indian Institute of Technology Delhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
471,Parallel Gaussian Process Regression for Big Data: Low-Rank Representation Meets Markov Approximation,Singapore-MIT Alliance for Research and Technology,Singapore-MIT Alliance for Research and Technology,Massachusetts Institute of Technology,National University of Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
472,Jointly Modeling Deep Video and Compositional Text to Bridge Vision and Language in a Unified Framework,Department of Statistics UCL,Department of EECS University of Michaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0
473,Compile!,Artois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
474,Fully Proportional Representation with Approval Ballots: Approximating the MaxCover Problem with Bounded Frequencies in FPT Time,University of Warsaw,Allegheny General Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
475,An Adaptive Gradient Method for Online AUC Maximization,Nanyang Technological University,Institute for Infocomm Research,Singapore Management University,Nanyang Technological University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
476,Explaining Answer Set Programming in Argumentative Terms,"Department of Computing Imperial College London London SW7 2AZ, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
477,A Theoretical Analysis of Optimization by Gaussian Continuation,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
478,Convergent Plans for Large-Scale Evacuations,Data61,Data61,Data61,Australian National University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
479,Knowledge-Based Probabilistic Logic Learning,Indiana University Bloomington,University of Wisconsin–Madison,Los Alamos National Laboratory,Indiana University Bloomington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
480,Learning Face Hallucination in the Wild,Tsinghua University,University of Science and Technology Beijing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
481,SmartShift: Expanded Load Shifting Incentive Mechanism for Risk-Averse Consumers,Northeastern University,"University of California, San Diego",Northeastern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
482,Content-Based Collaborative Filtering for News Topic Recommendation,Hong Kong University of Science and Technology,Renmin University of China,Microsoft Research Asia (China),Microsoft Research Asia (China),Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0
483,Surpassing Human-Level Face Verification Performance on LFW with GaussianFace,Chinese University of Hong Kong,Chinese University of Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
484,Social Hierarchical Learning,Yale University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
485,Initializing Bayesian Hyperparameter Optimization via Meta-Learning,University of Freiburg,University of Freiburg,University of Freiburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
486,Mining User Consumption Intention from Social Media Using Domain Adaptive Convolutional Neural Network,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,Université de Montréal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
487,"Steering Evolution Strategically: Computational Game Theory and Opponent Exploitation for Treatment Planning, Drug Design, and Synthetic Biology",Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
488,Tractable Cost-Optimal Planning over Restricted Polytree Causal Graphs,Linköping University,Linköping University,Linköping University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
489,Splitting a Logic Program Revisited,University of Science and Technology of China,Sun Yat-sen University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
490,Detecting and Tracking Concept Class Drift and Emergence in Non-Stationary Fast Data Streams,The University of Texas at Dallas,The University of Texas at Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
491,Placing Influencing Agents in a Flock,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
492,Crowdsourcing Complex Workflows under Budget Constraints,University of Southampton,University of Southampton,Jerusalem College of Technology,University of Southampton,University of Southampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
493,Mining User Interests from Personal Photos,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
494,Effect of Spatial Pooler Initialization on Column Activity in Hierarchical Temporal Memory,Scripps College,University of Chicago,IBM Research - Almaden,IBM Research - Almaden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
495,Dataless Text Classification with Descriptive LDA,Leshan Normal University,Tsinghua University,Leshan Normal University,University of Sussex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
496,Unsupervised Phrasal Near-Synonym Generation from Text Corpora,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
497,Proximal Operators for Multi-Agent Path Planning,Boston College,Wentworth Institute of Technology,Walt Disney (United States),Walt Disney (United States),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
498,Cognitive Social Learners: An Architecture for Modeling Normative Behavior,University of Central Florida,University of Central Florida,University of Central Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
499,Global Policy Construction in Modular Reinforcement Learning,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
500,Variational Inference for Nonparametric Bayesian Quantile Regression,University of Sydney,University of Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
501,asprin: Customizing Answer Set Preferences without a Headache," Affiliated with Inria Rennes, France, and SFU, Canada",Leipzig University,Simon Fraser University,University of Potsdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
502,Real-Time Symbolic Dynamic Programming for Hybrid MDPs,Universidade de São Paulo,Universidade de São Paulo,Data61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
503,Semantic Representation,University of Rochester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
504,A Neural Probabilistic Model for Context Based Citation Recommendation,Association for Information Science and Technology,Association for Information Science and Technology," Computer Sciences and Engineering The Pennsylvania State University University Park, PA 1680",Association for Information Science and Technology," Computer Sciences and Engineering The Pennsylvania State University University Park, PA 1680",Association for Information Science and Technology," Computer Sciences and Engineering The Pennsylvania State University University Park, PA 1680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
505,Non-Classical Planning for Robotic Applications,University of New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
506,Reusing Previously Found A* Paths for Fast Goal-Directed Navigation in Dynamic Terrain,Catholic University of the Most Holy Conception,Catholic University of the Most Holy Conception,Pontificia Universidad Católica de Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
507,Deep Representation Learning with Target Coding,Chinese University of Hong Kong,Chinese University of Hong Kong,Shenzhen Institutes of Advanced Technology,Chinese University of Hong Kong,Shenzhen Institutes of Advanced Technology,Chinese University of Hong Kong,Chinese University of Hong Kong,Shenzhen Institutes of Advanced Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0
508,Stable Model Counting and Its Application in Probabilistic Logic Programming,Data61,University of Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
509,Building Effective Representations for Sketch Recognition,Sun Yat-sen University,Microsoft Research Asia (China),Sun Yat-sen University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
510,Power System Restoration With Transient Stability,Data61,Data61,Data61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
511,A Tri-Role Topic Model for Domain-Specific Question Answering,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
512,Scalable Agent Modeling for Large Multiagent Systems,Oregon State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
513,Two Weighting Local Search for Minimum Vertex Cover,Chinese Academy of Sciences,Peking University,Griffith University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
514,Pruning Game Tree by Rollouts,Microsoft Research (United Kingdom),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
515,Generalized Singular Value Thresholding,National University of Singapore,National University of Singapore,Huazhong University of Science and Technology,National University of Singapore,Peking University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
516,A Stratified Strategy for Efficient Kernel-based Learning,"( †) Dept. of Civil Engineering and Computer Science Engineering ( ‡) Dept. of Enterprise Engineering University of Roma, Tor Vergata, Ital","( †) Dept. of Civil Engineering and Computer Science Engineering ( ‡) Dept. of Enterprise Engineering University of Roma, Tor Vergata, Ital","( †) Dept. of Civil Engineering and Computer Science Engineering ( ‡) Dept. of Enterprise Engineering University of Roma, Tor Vergata, Ital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
517,Spatio-Spectral Exploration Combining In Situ and Remote Measurements,California Institute of Technology,Carnegie Mellon University,Carnegie Mellon University,Ames Research Center,California Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
518,Multi-Robot Auctions for Allocation of Tasks with Temporal Constraints,University of Minnesota,University of Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
519,Every Team Deserves a Second Chance: Identifying When Things Go Wrong (Student Abstract Version),Indian Institute of Technology Madras,Tamil Nadu Agricultural University,University of Southern California,University of Southern California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
520,What Is the Longest River in the USA? Semantic Parsing for Aggregation Questions *,Peking University,Peking University,Peking University,IBM Research - China,Peking University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
521,Online Bayesian Models for Personal Analytics in Social Media,Johns Hopkins University,Johns Hopkins University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
522,Algorithm Selection via Ranking,Singapore Management University,Singapore Management University,Singapore Management University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
523,CrowdWON: A Modelling Language for Crowd Processes Based on Workflow Nets,"CA Labs, CA Technologies, Barcelona (Spain)","CA Labs, CA Technologies, Barcelona (Spain)",Universitat Politècnica de Catalunya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
524,Active Learning for Informative Projection Retrieval,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
525,Online Bandit Learning for a Special Class of Non-convex Losses,Nanjing University,University of Iowa,Michigan State University,Nanjing University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
526,Predisaster Preparation of Transportation Networks,University of Vienna,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
527,Transfer Learning-Based Co-Run Scheduling for Heterogeneous Datacenters,Michigan Technological University,Michigan Technological University,Michigan Technological University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
528,Data Science for Social Good 2014 KDD Highlights,Los Angeles Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
529,Data Analysis and Optimization for (Citi)Bike Sharing, School of Operations Research and Information Engineerin, School of Operations Research and Information Engineerin,Cornell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
530,Automatically Creating a Large Number of New Bilingual Dictionaries,Computer Science Department,Computer Science Department,Computer Science Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
531,"Robot Learning Manipulation Action Plans by ""Watching"" Unconstrained Videos from the World Wide Web",University of Mary,Data61,University of Mary,University of Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
532,An Efficient Forest-Based Tabu Search Algorithm for the Split-Delivery Vehicle Routing Problem,Sun Yat-sen University,Sun Yat-sen University,University of Hong Kong,Huazhong University of Science and Technology,Sun Yat-sen University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
533,Approximate Linear Programming for Constrained Partially Observable Markov Decision Processes,University of Waterloo,University of Waterloo,University of Waterloo,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,University of Alberta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
534,Real-Time Predictive Optimization for Energy Management in a Hybrid Electric Vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
535,Distributing Coalition Value Calculations to Coalition Members,University of Liverpool,University of Liverpool,University of Liverpool,University of Liverpool,University of Liverpool,University of Liverpool,University of Liverpool,University of Liverpool,University of Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0
536,Doubly Robust Covariate Shift Correction,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
537,On the Diagnosis of Cyber-Physical Production Systems: State-of-the-Art and Research Agenda,Ostwestfalen-Lippe University of Applied Sciences and Arts,Ostwestfalen-Lippe University of Applied Sciences and Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
538,Elementary School Science and Math Tests as a Driver for AI: Take the Aristo Challenge!,Allen Institute for Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
539,On Correcting Misspelled Queries in Email Search,"Microsoft Research 9 Lavelle Road, Bangalore -56000","Microsoft Research 9 Lavelle Road, Bangalore -56000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
540,Detecting Change Points in the Large-Scale Structure of Evolving Networks,University of Colorado Boulder,University of Colorado Boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
541,Recurrent Convolutional Neural Networks for Text Classification,Chinese Academy of Sciences,Chinese Academy of Sciences,Chinese Academy of Sciences,Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
542,Verifying and Synthesising Multi-Agent Systems against One-Goal Strategy Logic Specifications,Imperial College London,Imperial College London,University of Naples Federico II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
543,Exploring Semantic Inter-Class Relationships (SIR) for Zero-Shot Action Recognition,Tsinghua University,Carnegie Mellon University,University of Technology Sydney,Zhejiang University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
544,Ordering-Sensitive and Semantic-Aware Topic Modeling,Chinese University of Hong Kong,Zhejiang University,Chinese University of Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
545,Modeling Status Theory in Trust Prediction,Jilin University,Ministry of Education,Jilin University,Ministry of Education,Changchun Institute of Technology,Arizona State University,Jilin University,Ministry of Education,Guilin University of Electronic Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0
546,Low-Rank Similarity Metric Learning in High Dimensions,Chinese University of Hong Kong,Chinese University of Hong Kong,Chinese University of Hong Kong,Chinese University of Hong Kong,Chinese University of Hong Kong,Chinese University of Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
547,Sample-Targeted Clinical Trial Adaptation,Deakin University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
548,Transaction Costs-Aware Portfolio Optimization via Fast Löwner-John Ellipsoid Approximation,GE Global Research (United States),Alibaba Group (United States),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
549,Energy Disaggregation via Learning 'Powerlets' and Sparse Coding,"University of California, Berkeley","University of California, Berkeley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
550,Relating Romanized Comments to News Articles by Inferring Multi-Glyphic Topical Correspondence,Indian Institute of Science Bangalore,Indian Institute of Science Bangalore,Indian Institute of Science Bangalore,Indian Institute of Science Bangalore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
551,On Computing Maximal Subsets of Clauses that Must Be Satisfiable with Possibly Mutually-Contradictory Assumptive Contexts,"IRIT CNRS UMR 5505 118 Route de Narbonne F-31062 Toulouse, Franc",Artois University,Artois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
552,Information Gathering and Reward Exploitation of Subgoals for POMDPs,McGill University,McGill University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
553,Exact Recoverability of Robust PCA via Outlier Pursuit with Tight Recovery Bounds,Peking University,Peking University,Peking University,HTC (Taiwan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
554,Learning Multi-Level Task Groups in Multi-Task Learning,Hong Kong Baptist University,Hong Kong Baptist University,Hong Kong Baptist University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
555,Factored Symmetries for Merge-and-Shrink Abstractions,University of Basel,University of Basel,University of Basel,Technion – Israel Institute of Technology,IBM Research - Haifa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
556,Linear-Time Gibbs Sampling in Piecewise Graphical Models,Australian National University,Data61,Australian National University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
557,Outlier-Robust Convex Segmentation,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
558,On Information Coverage for Location Category Based Point-of-Interest Recommendation,University of Electronic Science and Technology of China,Teesside University,Nanyang Technological University,Teesside University,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
559,Bayesian Approach to Modeling and Detecting Communities in Signed Network,Jilin University,Jilin University,Jilin University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
560,Incremental Weight Elicitation for Multiobjective State Space Search,Sorbonne University,French National Centre for Scientific Research," Place Jussieu, 75005 Paris, Franc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
561,Probabilistic Planning with Risk-Sensitive Criterion,New Mexico State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
562,A Robust and Extensible Tool for Data Integration Using Data Type Models,Palo Alto Research Center,Palo Alto Research Center,Palo Alto Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
563,Spectral Learning of Predictive State Representations with Insufficient Statistics,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
564,Abstraction for Solving Large Incomplete-Information Games,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
565,Emerging Architectures for Global System Science," ) DISI, University of Bologna -Ital",Australian National University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
566,"An Unsupervised Framework of Exploring Events on Twitter: Filtering, Extraction and Categorization",Southeast University,Southeast University,Aston University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
567,Interactive Query-Based Debugging of ASP Programs,University of Klagenfurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
568,Congestion Games with Distance-Based Strict Uncertainty,Harvard University,Harvard University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
569,Using Frame Semantics for Knowledge Extraction from Twitter,University of Copenhagen,University of Copenhagen,University of Copenhagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
570,XPath for DL Ontologies,University of Oxford,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
571,SAT Modulo Monotonic Theories,University of British Columbia,University of British Columbia,University of British Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
572,On Unconstrained Quasi-Submodular Function Optimization,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
573,"DeepTutor: An Effective, Online Intelligent Tutoring System that Promotes Deep Learning",University of Memphis,University of Memphis,University of Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
574,A Boosted Multi-Task Model for Pedestrian Detection with Occlusion Handling,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
575,Learning Greedy Policies for the Easy-First Framework,Washington State University,Oregon State University Cascades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
576,Collaboration in Social Problem-Solving: When Diversity Trumps Network Efficiency,Federal University of Rio Grande do Sul,Federal University of Rio Grande do Sul,Federal University of Rio Grande do Sul,Federal University of Rio Grande do Sul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
577,Marginalized Denoising for Link Prediction and Multi-label Learning,Jianghan University,Washington University in St. Louis," Criteo Lab, Palo Alto, CA, US",Washington University in St. Louis,Jianghan University,Washington University in St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
578,Planning with Numeric Timed Initial Fluents,"Informatics Department King's College London London, U","Informatics Department King's College London London, U","Informatics Department King's College London London, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
579,When Suboptimal Rules,Bar-Ilan University,Bar-Ilan University,Jerusalem College of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
580,Kernelized Online Imbalanced Learning with Fixed Budgets,Chinese University of Hong Kong,University of Hong Kong,Chinese University of Hong Kong,University of Hong Kong,Chinese University of Hong Kong,University of Hong Kong,Chinese University of Hong Kong,University of Hong Kong,Chinese University of Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0
581,Efficient Task Sub-Delegation for Crowdsourcing,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,University of British Columbia,Chinese Academy of Sciences,Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0
582,Concurrent PAC RL,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
583,Visualizing Inference,"MIT Media Lab Cambridge, MA 01239 US","MIT Media Lab Cambridge, MA 01239 US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
584,Variable-Deletion Backdoors to Planning *,University of Vienna,Masaryk University,University of Vienna,University of Siegen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
585,Tighter Value Function Bounds for Bayesian Reinforcement Learning,University of Hildesheim,University of Hildesheim,University of Hildesheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
586,Self-Paced Curriculum Learning,Carnegie Mellon University,Carnegie Mellon University,Xi'an Jiaotong University,Carnegie Mellon University,Xi'an Jiaotong University,Carnegie Mellon University,Chinese Academy of Sciences,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0
587,RANSAC versus CS-RANSAC,Inha University,Inha University,Inha University,Inha University,Inha University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
588,Design and Experiment of a Collaborative Planning Service for NetCentric International Brigade Command, Sagem Defense & Security,Direction Générale de l'Armement,United States Army Combat Capabilities Development Command, Sagem Defense & Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
589,Efficient Active Learning of Halfspaces via Query Synthesis,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
590,Spatio-Temporal Signatures of User-Centric Data: How Similar Are We?,Rensselaer Polytechnic Institute,IBM Research - China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
591,Towards User-Adaptive Information Visualization,University of British Columbia,University of British Columbia,University of British Columbia,University of British Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
