Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,inst28,inst29,inst30,inst31,inst32,inst33,inst34,inst35,inst36,inst37,inst38,inst39,inst40,inst41,num_academia,num_company
174,Fast and Accurate Prediction of Sentence Specificity,University of Pennsylvania,University of Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
175,Speech Adaptation in Extended Ambient Intelligence Environments,Florida Institute for Human and Machine Cognition,Florida Institute for Human and Machine Cognition,Florida Institute for Human and Machine Cognition,Florida Institute for Human and Machine Cognition,Florida Institute for Human and Machine Cognition,Florida Institute for Human and Machine Cognition,Florida Institute for Human and Machine Cognition,Florida Institute for Human and Machine Cognition,The Ohio State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0
176,Mechanism Learning with Mechanism Induced Data,Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
177,Some Fixed Parameter Tractability Results for Planning with Non-Acyclic Domain-Transition Graphs,Linköping University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
178,Predicting Peer-to-Peer Loan Rates Using Bayesian Non-Linear Regression,University of Sheffield,University of Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
179,Predicting the Quality of User Experiences to Improve Productivity and Wellness,Harvey Mudd College,Harvey Mudd College,Harvey Mudd College,Harvey Mudd College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
180,Automated Analysis of Commitment Protocols Using Probabilistic Model Checking,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
181,VecLP: A Realtime Video Recommendation System for Live TV Programs,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0
182,A Probabilistic Covariate Shift Assumption for Domain Adaptation,University of Waterloo,University of Waterloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
183,Complexity Results for Compressing Optimal Paths,IBM Research - Ireland,Karlsruhe Institute of Technology,Data61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
184,A Counter Abstraction Technique for the Verification of Robot Swarms,Imperial College London,Imperial College London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
185,On Interruptible Pure Exploration in Multi-Armed Bandits *,Technion – Israel Institute of Technology,Computer Science Department,Czech Technical University in Prague,Technion – Israel Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
186,Risk-Aware Scheduling throughout Planning and Execution,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
187,Sub-Merge: Diving Down to the Attribute-Value Level in Statistical Schema Matching,University of Melbourne,University of Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
188,Planned Protest Modeling in News and Social Media,The University of Texas at Arlington,"University of Maryland, College Park",University of California San Diego Medical Center,University of California San Diego Medical Center,"University of California, Santa Cruz","CACI Inc. Lanham, MD 2070",The University of Texas at Arlington,"Brazil, Chile, Colombia, Ecuador, El Salvador, Mexico, Paraguay, Uruguay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0
189,Robust Image Sentiment Analysis Using Progressively Trained and Domain Transferred Deep Networks,University of Rochester,University of Rochester,"Adobe Research 345 Park Avenue San Jose, CA 9511","Adobe Research 345 Park Avenue San Jose, CA 9511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
190,Energy Usage Behavior Modeling in Energy Disaggregation via Marked Hawkes Process,East China Normal University,Georgia Institute of Technology,East China Normal University,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
191,FACES: Diversity-Aware Entity Summarization Using Incremental Hierarchical Conceptual Clustering,Wright State University,Wright State University,Wright State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
192,Surveyor: A System for Generating Coherent Survey Articles for Scientific Topics,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
193,Improving Multi-Step Prediction of Learned Time Series Models,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
194,HVAC-Aware Occupancy Scheduling,"Optimisation Research Group, NICTA Research School of Computer Science, AN","Optimisation Research Group, NICTA Research School of Computer Science, AN","Optimisation Research Group, NICTA Research School of Computer Science, AN",Los Alamos National Laboratory,Los Alamos National Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
195,Automated Problem List Generation from Electronic Medical Records in IBM Watson,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
196,Strong Temporal Planning with Uncontrollable Durations: A State-Space Approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
197,Best-Response Planning of Thermostatically Controlled Loads under Power Constraints,Delft University of Technology,Delft University of Technology,Delft University of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
198,Learning to Mediate Perceptual Differences in Situated Human-Robot Dialogue,Michigan State University,Michigan State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
199,Content-Aware Point of Interest Recommendation on Location-Based Social Networks,Arizona State University,Arizona State University,Arizona State University,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
200,What's Hot in the SAT and ASP Competitions," Affiliated with Inria Rennes, France, and Simon Fraser Uni-versity, Canada",The University of Texas at Austin,University of Potsdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
201,Lifting Model Sampling for General Game Playing to Incomplete-Information Models,UNSW Sydney,UNSW Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
202,Microblog Sentiment Classification with Contextual Knowledge Regularization,Tsinghua University,University of Illinois Urbana-Champaign,Tsinghua University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
203,Just-in-Time Hierarchical Constraint Decomposition,Data61,"Level 4, 223 Anzac Parade, Sydney, Australi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
204,Using Qualitative Spatial Logic for Validating Crowd-Sourced Geospatial Data,University of Nottingham,University of Aberdeen,University of Nottingham,University of Nottingham,University of Nottingham,Ordnance Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
205,Representing Aggregators in Relational Probabilistic Models,University of British Columbia,University of British Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
206,Leveraging Common Structure to Improve Prediction across Related Datasets,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
207,Multi-Agent Dynamic Coupling for Cooperative Vehicles Modeling,University of Lyon System,Laboratoire d'Ingénierie Circulation Transports,École Nationale des Travaux Publics de l'État,University of Lyon System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
208,On Manipulablity of Random Serial Dictatorship in Sequential Matching with Dynamic Preferences,University of Waterloo,University of Waterloo,University of Waterloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
209,From Non-Negative to General Operator Cost Partitioning,University of Basel,University of Basel,University of Basel,University of Basel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
210,Salient Object Detection via Objectness Proposals,Singapore Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
211,Impact of Modeling Languages on the Theory and Practice in Planning Research,Aalto University,Griffith University,Helsinki Institute for Information Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
212,Optimal Column Subset Selection by A-Star Search,The University of Texas at Dallas,The University of Texas at Dallas,The University of Texas at Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
213,Prajna: Towards Recognizing Whatever You Want From Images without Image Labeling,Microsoft (United States),Microsoft (United States),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
214,Visually Interpreting Names as Demographic Attributes by Exploiting Click-Through Data,National Taiwan University,FX Palo Alto Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
215,Learning Predictable and Discriminative Attributes for Visual Recognition,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
216,Multivariate Conditional Anomaly Detection and Its Clinical Application,University of Pittsburgh,University of Pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
217,Recovering Causal Effects from Selection Bias,"University of California, Los Angeles",Iowa State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
218,Solving Hard Stable Matching Problems via Local Search and Cooperative Parallelization,Université Paris Cité,Université Paris Cité,University of Évora,University of Padova/Harvard Universit,IBM Research - Thomas J. Watson Research Center,The University of Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
219,Aggregating Electric Cars to Sustainable Virtual Power Plants: The Value of Flexibility in Future Electricity Markets,Erasmus University Rotterdam,Erasmus University Rotterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
220,"Bayesian Networks Specified Using Propositional and Relational Constructs: Combined, Data, and Domain Complexity",Universidade de São Paulo,Universidade de São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
221,Knowledge Representation and Reasoning: What's Hot,Arizona State University,Sapienza University of Rome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
222,What's Hot in Crowdsourcing and Human Computation,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
223,Exploiting Submodular Value Functions for Faster Dynamic Sensor Selection,University of Amsterdam,University of Amsterdam,University of Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
224,The Network Data Repository with Interactive Graph Analytics and Visualization,Purdue University West Lafayette,Purdue University West Lafayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
225,Providing Arguments in Discussions Based on the Prediction of Human Argumentative Behavior *,Bar-Ilan University,Bar-Ilan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
