Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,num_academia,num_company
1232,Gaussian Transformer: A Lightweight Approach for Natural Language Inference,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,,,,,,,,,,,,,,,,,,3.0,0.0
1233,EA Reader: Enhance Attentive Reader for Cloze-Style Question Answering via Multi-Space Context Fusion,University of Liverpool,University of Liverpool,,,,,,,,,,,,,,,,,,,2.0,0.0
1234,Towards to Reasonable Decision Basis in Automatic Bone X-Ray Image Classification: A Weakly-Supervised Approach,Chinese University of Hong Kong,Chinese University of Hong Kong,,,,,,,,,,,,,,,,,,,2.0,0.0
1235,Deep Neural Network Quantization via Layer-Wise Optimization Using Limited Training Data,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,,,,,,,,,,,,,,,,,,3.0,0.0
1236,Safe Partial Diagnosis from Normal Observations,Ben-Gurion University of the Negev,Washington University in St. Louis,,,,,,,,,,,,,,,,,,,2.0,0.0
1237,Which Factorization Machine Modeling Is Better: A Theoretical Answer with Optimal Guarantee,Alibaba Group (United States),University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,Alibaba Group (United States),Alibaba Group (United States),Alibaba Group (United States),Alibaba Group (United States),Alibaba Group (United States),,,,,,,,,,,,,2.0,6.0
1238,Computer Generation of Birds of a Feather Puzzles,,,,,,,,,,,,,,,,,,,,,0.0,0.0
1239,Transferable Curriculum for Weakly-Supervised Domain Adaptation,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,,,2.0,0.0
1240,Distribution Consistency Based Covariance Metric Networks for Few-Shot Learning,Nanjing University,Northwestern Polytechnical University,Nanjing University,University of Wollongong,Nanjing University,University of Rochester,,,,,,,,,,,,,,,6.0,0.0
1241,Few-Shot Image and Sentence Matching via Gated Visual-Semantic Embedding," Center for Research on Intelligent Perception and Computing (CRIPAC), National Laboratory of Pattern Recognition (NLPR",University of Chinese Academy of Sciences,University of Newcastle Australia," Center for Research on Intelligent Perception and Computing (CRIPAC), National Laboratory of Pattern Recognition (NLPR",Center for Excellence in Brain Science and Intelligence Technology,Institute of Automation,University of Chinese Academy of Sciences,,,,,,,,,,,,,,3.0,0.0
1242,Marginal Inference in Continuous Markov Random Fields Using Mixtures,The University of Texas at Dallas,The University of Texas at Dallas,The University of Texas at Dallas,,,,,,,,,,,,,,,,,,3.0,0.0
1243,Hyperbolic Heterogeneous Information Network Embedding,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,,,,,,,,,,,,,,,,,,3.0,0.0
1244,Fast PMI-Based Word Embedding with Efficient Use of Unobserved Patterns,Dalhousie University,Dalhousie University,Polish Academy of Sciences,,,,,,,,,,,,,,,,,,3.0,0.0
1245,BiHMP-GAN: Bidirectional 3D Human Motion Prediction GAN,Indian Institute of Science Bangalore,Indian Institute of Science Bangalore,Indian Institute of Science Bangalore,,,,,,,,,,,,,,,,,,3.0,0.0
1246,Challenges in the Automatic Analysis of Students' Diagnostic Reasoning,Technical University of Darmstadt,Technical University of Darmstadt,Technical University of Darmstadt,,,,,,,,,,,,,,,,,,3.0,0.0
1247,Meta Learning for Image Captioning,Wuhan University,Wuhan University," Tencent Media Lab, Palo Alto, CA, US",,,,,,,,,,,,,,,,,,2.0,0.0
